?e	?t	?prec	?cal
<http://www.wikidata.org/entity/Q131419721>	2004-08-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131419834>	2012-07-28T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131419879>	2015-04-02T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131419912>	2016-08-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131419989>	2022-08-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q131831137>	2018-09-06T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q132173063>	2025-01-29T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q132541119>	1972-11-28T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q132650050>	2018-10-11T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q135004855>	2012-05-29T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q135642091>	2025-11-19T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q135726467>	2025-08-08T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q137767146>	2025-06-04T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q143866>	1790-07-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q16056961>	1940-07-19T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q16490716>	1939-05-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q17176489>	2014-06-06T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q17221501>	1999-11-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q17230997>	2009-11-12T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q25487937>	1948-05-14T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39745435>	2006-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39745767>	2007-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39746053>	2008-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39746220>	2009-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39746356>	2010-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39746481>	2011-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39746601>	2012-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39746709>	2013-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39746804>	2014-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39746961>	2015-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39747116>	2016-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q39747320>	2017-02-22T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q5166275>	1815-07-03T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q62388505>	1975-02-25T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q63486522>	2016-09-17T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q65259264>	2019-04-10T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q65259305>	2019-02-24T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q7253161>	1525-04-20T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>
<http://www.wikidata.org/entity/Q85039642>	1795-02-01T00:00:00Z	10	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q85879137>	2019-11-10T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q85987157>	1996-06-08T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q85987157>	1996-06-09T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
<http://www.wikidata.org/entity/Q937328>	1454-02-26T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985786>
<http://www.wikidata.org/entity/Q97502346>	2020-07-16T00:00:00Z	11	<http://www.wikidata.org/entity/Q1985727>
