?name	?p	?label	?desc	?born	?died
"William Jones"@en	<http://www.wikidata.org/entity/Q19325102>	"Pero"@en	"(1752/3–1798), enslaved man"@en	1752	1798
"John Dalton"@en	<http://www.wikidata.org/entity/Q76104084>	"John Dalton"@en	"(1758-1841)"@en	1758	1841
"William Jones"@en	<http://www.wikidata.org/entity/Q111663274>	"William Jones"@en	"(1760-1838) Quaker"@en	1760	1838
"William Jones"@en	<http://www.wikidata.org/entity/Q120148622>	"William Jones"@en	"(1771–1853)"@en	1771	1853
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q76164680>	"William Shakespeare"@en	"(1778-1822)"@en	1778	1822
"John Dalton"@en	<http://www.wikidata.org/entity/Q76015744>	"John Dalton"@en	"(1784-1864)"@en	1784	1864
"William Jones"@en	<http://www.wikidata.org/entity/Q21465737>	"William Jones"@en	"1787-c.1871"@en	1787	
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q76331959>	"William Shakespeare"@en	"(1808-1830)"@en	1808	1830
"John Dalton"@en	<http://www.wikidata.org/entity/Q76287113>	"John Dalton"@en	"(1813-1871)"@en	1813	1871
"William James"@en	<http://www.wikidata.org/entity/Q96415139>	"William James"@en	"(1832-1896)"@en	1832	1896
"William Jones"@en	<http://www.wikidata.org/entity/Q24250749>	"William Jones"@en	"(1842-1907) master mariner, industrialist and civic leader"@en	1842	1907
"James Hutton"@en	<http://www.wikidata.org/entity/Q117247927>	"James Laws Hutton"@en	"(1847-1885)"@en	1847	1885
"William Jones"@en	<http://www.wikidata.org/entity/Q110214289>	"William Jones"@en	"(1857-1915)"@en	1857	1915
"William Jones"@en	<http://www.wikidata.org/entity/Q56179855>	"William Jones"@en	"( -1859)"@en		1859
"James Hutton"@en	<http://www.wikidata.org/entity/Q76332985>	"James Hutton"@en	"(1870-1953)"@en	1870	1953
"William Jones"@en	<http://www.wikidata.org/entity/Q115114927>	"William Jones"@en	"(1918-2009) American soldier and entrepreneur, one of the last Buffalo Soldiers"@en	1918	2009
"John Dalton"@en	<http://www.wikidata.org/entity/Q110181370>	"John Dalton"@en	"(1923-2011)"@en	1923	2011
"William James"@en	<http://www.wikidata.org/entity/Q98834311>	"William James"@en	"1937-"@en	1937	
"William Jones"@en	<http://www.wikidata.org/entity/Q139935462>	"William Jones"@en	"19th century calligrapher"@en		
"Claudius Ptolemy"@en	<http://www.wikidata.org/entity/Q34943>	"Ptolemy"@en	"2nd-century Roman mathematician, astronomer, geographer"@en	100	170
"Aristotle"@en	<http://www.wikidata.org/entity/Q868>	"Aristotle"@en	"4th-century BCE Classical Greek philosopher and polymath"@en	-383	-321
"Confucius"@en	<http://www.wikidata.org/entity/Q4604>	"Confucius"@en	"5th-century BCE Chinese philosopher and politician"@en	-550	-478
"Laozi"@en	<http://www.wikidata.org/entity/Q9333>	"Laozi"@en	"6th-century BC semi-legendary Chinese philosopher, founder of Taoism"@en	-579	-500
"Muḥammad ibn Mūsā al-Khwārizmī"@en	<http://www.wikidata.org/entity/Q9038>	"Muḥammad ibn Musa al-Khwarizmi"@en	"9th-century Persian mathematician and astronomer"@en	780	850
"Hildegard"@en	<http://www.wikidata.org/entity/Q15630826>	"Hildegard"@en	"abbess of Fraumünster, daughter of Louis the German"@en	828	856
"Michael Levin"@en	<http://www.wikidata.org/entity/Q22676848>	"Michael Levin"@en	"actor"@en	1932	2023
"Peter Mitchell"@en	<http://www.wikidata.org/entity/Q5637317>	"Peter Mitchell"@en	"actor"@en	1985	
"William Jones"@en	<http://www.wikidata.org/entity/Q23301575>	"William Jones"@en	"actor"@en	1954	
"Augustine"@en	<http://www.wikidata.org/entity/Q15153326>	"Augustine"@en	"actor (1955-2013)"@en	1955	2013
"William Jones"@en	<http://www.wikidata.org/entity/Q111685985>	"William Thomas Jones"@en	"African-American architect b. c. 1890"@en		
"Alonzo Church"@en	<http://www.wikidata.org/entity/Q4734581>	"Alonzo Church"@en	"American academic administrator (1793-1862)"@en	1793	1862
"Vera Rubin"@en	<http://www.wikidata.org/entity/Q28660612>	"Vera D. Rubin"@en	"American anthropologist (1911–1985)"@en	1911	1985
"Edwin Hubble"@en	<http://www.wikidata.org/entity/Q43027>	"Edwin Hubble"@en	"American astronomer (1889–1953)"@en	1889	1953
"Vera Rubin"@en	<http://www.wikidata.org/entity/Q234888>	"Vera Rubin"@en	"American astronomer and physicist (1928-2016)"@en	1928	2016
"David Marr"@en	<http://www.wikidata.org/entity/Q15485090>	"David G. Marr"@en	"American/Australian historian (born 1937)"@en	1937	
"William James"@en	<http://www.wikidata.org/entity/Q141143895>	"William C. James"@en	"American author and retired federal IT executive"@en		
"Michael Levin"@en	<http://www.wikidata.org/entity/Q140026848>	"Michael Levin"@en	"American author, ghostwriter, and playwright"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q8003816>	"William "Billy" Jones"@en	"American businessman"@en	1884	1968
"William Jones"@en	<http://www.wikidata.org/entity/Q85632231>	"William D. Jones"@en	"American chemist"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q8013735>	"William Jones"@en	"American criminal and member of the Gas House Gang"@en		
"John Anthony West"@en	<http://www.wikidata.org/entity/Q6219218>	"John Anthony West"@en	"American egyptologist (1932-2018)"@en	1932	2018
"Lynn Margulis"@en	<http://www.wikidata.org/entity/Q234583>	"Lynn Margulis"@en	"American evolutionary biologist (1938–2011)"@en	1938	2011
"William Jones"@en	<http://www.wikidata.org/entity/Q111311399>	"William E. Jones"@en	"American filmmaker"@en	1962	
"William Jones"@en	<http://www.wikidata.org/entity/Q18630842>	"Bill Jones"@en	"American football player"@en	1966	
"William James"@en	<http://www.wikidata.org/entity/Q126958740>	"Will James"@en	"American football player"@en		
"John Dalton"@en	<http://www.wikidata.org/entity/Q6228449>	"John Dalton"@en	"American football player (1889-1919)"@en	1889	1919
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q8018308>	"William Shakespeare"@en	"American football player (1912-1974)"@en	1912	1974
"William Jones"@en	<http://www.wikidata.org/entity/Q60765271>	"Bill Jones"@en	"American football player and coach (1914–1999)"@en	1914	1999
"William James"@en	<http://www.wikidata.org/entity/Q8013417>	"William James"@en	"American football player, born 1979"@en	1979	
"William Jones"@en	<http://www.wikidata.org/entity/Q5029311>	"Canada Bill Jones"@en	"American fraudster"@en	1835	1880
"Douglas C. Wallace"@en	<http://www.wikidata.org/entity/Q1252080>	"Douglas C. Wallace"@en	"American geneticist"@en	1946	
"Robert M. Schoch"@en	<http://www.wikidata.org/entity/Q7347179>	"Robert M. Schoch"@en	"American geologist"@en	1949	
"William Jones"@en	<http://www.wikidata.org/entity/Q98454838>	"William Jones"@en	"American horror fiction writer and editor, and game designer"@en		
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q8018313>	"William Shakespeare"@en	"American inventor and politician (1869-1950)"@en	1869	1950
"Homer"@en	<http://www.wikidata.org/entity/Q344838>	"Winslow Homer"@en	"American landscape painter (1836–1910)"@en	1836	1910
"Noam Chomsky"@en	<http://www.wikidata.org/entity/Q9049>	"Noam Chomsky"@en	"American linguist and activist (born 1928)"@en	1928	
"Claude Shannon"@en	<http://www.wikidata.org/entity/Q92760>	"Claude Shannon"@en	"American mathematician and information theorist (1916–2001)"@en	1916	2001
"Alonzo Church"@en	<http://www.wikidata.org/entity/Q92741>	"Alonzo Church"@en	"American mathematician and logician (1903–1995)"@en	1903	1995
"Norbert Wiener"@en	<http://www.wikidata.org/entity/Q178577>	"Norbert Wiener"@en	"American mathematician, scientist in cybernetics and artificial intelligence (1894–1964)"@en	1894	1964
"Harold Saxton Burr"@en	<http://www.wikidata.org/entity/Q1585921>	"Harold Saxton Burr"@en	"American medical researcher and painter (1889-1973)"@en	1889	1973
"William Jones"@en	<http://www.wikidata.org/entity/Q56650339>	"William Albert Jones"@en	"American military engineer (1841–1914)"@en	1841	1914
"Rosalind Franklin"@en	<http://www.wikidata.org/entity/Q6744161>	"Mallia Franklin"@en	"American musician (1952-2010)"@en	1952	2010
"Marie Tharp"@en	<http://www.wikidata.org/entity/Q538786>	"Marie Tharp"@en	"American oceanographer and cartographer (1920–2006)"@en	1920	2006
"William James"@en	<http://www.wikidata.org/entity/Q22002311>	"William James"@en	"American painter, 1882-1961"@en	1882	1961
"Michael Levin"@en	<http://www.wikidata.org/entity/Q6832223>	"Michael Levin"@en	"American philosopher"@en	1943	
"William James"@en	<http://www.wikidata.org/entity/Q125249>	"William James"@en	"American philosopher, psychologist, and pragmatist (1842–1910)"@en	1842	1910
"John Dalton"@en	<http://www.wikidata.org/entity/Q111177240>		"American politician"@en	1843	
"John Dalton"@en	<http://www.wikidata.org/entity/Q111322528>		"American politician"@en	1879	
"William Jones"@en	<http://www.wikidata.org/entity/Q111176648>		"American politician"@en	1846	
"William James"@en	<http://www.wikidata.org/entity/Q18687984>	"Bill James"@en	"American politician"@en	1930	2022
"William Jones"@en	<http://www.wikidata.org/entity/Q926113>	"William Jones"@en	"American politician (1760–1831)"@en	1760	1831
"William Jones"@en	<http://www.wikidata.org/entity/Q30518916>	"William F. Jones"@en	"American politician (1813–1890)"@en	1813	1890
"William James"@en	<http://www.wikidata.org/entity/Q113953939>	"William A. James"@en	"American politician (1838–1893)"@en	1838	1893
"William Jones"@en	<http://www.wikidata.org/entity/Q16008223>	"William Jones"@en	"American politician from Wisconsin (1894–1977)"@en	1894	1977
"William Jones"@en	<http://www.wikidata.org/entity/Q111992351>	"William G. Jones"@en	"American politician in Iowa (1861-1956)"@en	1861	1956
"William Jones"@en	<http://www.wikidata.org/entity/Q111176652>	"William H. Jones"@en	"American politician in Michigan (1855-1930)"@en	1855	1930
"William Jones"@en	<http://www.wikidata.org/entity/Q141192209>	"William H. Jones"@en	"American politician in South Dakota (1848-1931)"@en	1848	1931
"William Jones"@en	<http://www.wikidata.org/entity/Q111228250>	"William Jones"@en	"American politician – Minnesota -- "Wm." House 1870 (District 7)"@en	1825	
"William Jones"@en	<http://www.wikidata.org/entity/Q111228249>	"William R. Jones"@en	"American politician – Minnesota -- "Wm. R." House 1887-88 (District 10)"@en	1827	
"William Jones"@en	<http://www.wikidata.org/entity/Q111228248>	"William P. Jones"@en	"American politician – Minnesota -- "W.P." House 1877 (District 14)"@en	1828	
"William Jones"@en	<http://www.wikidata.org/entity/Q8013745>	"William Jones"@en	"American professional wrestler"@en	1969	
"Georges Lemaître"@en	<http://www.wikidata.org/entity/Q107094685>	"Georges Édouard Lemaître"@en	"American romanist"@en	1898	1972
"Gilbert Ling"@en	<http://www.wikidata.org/entity/Q16085947>	"Gilbert Ling"@en	"American scientist"@en	1919	2019
"Linus Pauling"@en	<http://www.wikidata.org/entity/Q48983>	"Linus Pauling"@en	"American scientist (1901–1994)"@en	1901	1994
"John Dalton"@en	<http://www.wikidata.org/entity/Q6228453>	"John Dalton"@en	"American writer (born 1963)"@en	1963	
"Aristarchus"@en	<http://www.wikidata.org/entity/Q106796783>	"Aristarchus"@en	"ancient explainer of the sights at the Zeus sanctuary at Olympia"@en		
"Archimedes"@en	<http://www.wikidata.org/entity/Q777411>	"Archimedes"@en	"ancient Greek epigrammatist"@en		
"Euclid"@en	<http://www.wikidata.org/entity/Q8747>	"Euclid"@en	"ancient Greek mathematician (fl. 300 BC)"@en	-333	-284
"Euclid of Alexandria"@en	<http://www.wikidata.org/entity/Q8747>	"Euclid"@en	"ancient Greek mathematician (fl. 300 BC)"@en	-333	-284
"Sappho"@en	<http://www.wikidata.org/entity/Q17892>	"Sappho"@en	"ancient Greek poet from Lesbos (c. 630-c. 570 BC)"@en	-650	-569
"Aristarchus"@en	<http://www.wikidata.org/entity/Q16169874>	"Aristarchus"@en	"ancient physician"@en		
"John Dalton"@en	<http://www.wikidata.org/entity/Q86009774>	"John Dalton"@en	"anglican priest"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q16007648>	"William Jones"@en	"Anglican priest, Dean of Brecon"@en	1897	1974
"William Jones"@en	<http://www.wikidata.org/entity/Q273969>	"William Jones"@en	"Anglo-Welsh philologist and scholar of ancient India (1746–1794)"@en	1746	1794
"William Jones"@en	<http://www.wikidata.org/entity/Q18672862>	"William Arthur Jones"@en	"antiquarian and Unitarian minister"@en	1818	1873
"Alhazen"@en	<http://www.wikidata.org/entity/Q11104>	"Ibn al-Haytham"@en	"Arab physicist, mathematician and astronomer (c. 965 – c. 1040)"@en	965	1039
"Ibn al-Haytham"@en	<http://www.wikidata.org/entity/Q11104>	"Ibn al-Haytham"@en	"Arab physicist, mathematician and astronomer (c. 965 – c. 1040)"@en	965	1039
"Randall Carlson"@en	<http://www.wikidata.org/entity/Q107206942>	"Randall Carlson"@en	"architectural designer, geomythologist and podcaster"@en		
"Jorge Luis Borges"@en	<http://www.wikidata.org/entity/Q909>	"Jorge Luis Borges"@en	"Argentine writer, essayist, poet and translator (1899–1986)"@en	1899	1986
"William Jones"@en	<http://www.wikidata.org/entity/Q76334409>	"William Jones"@en	"artist"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q91666593>	"William C Jones"@en	"Astrophysics, Cosmology researcher (ORCID 0000-0002-3636-1241)"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q28445444>	"William Jones"@en	"auctioneer in Brecon"@en		
"John Dalton"@en	<http://www.wikidata.org/entity/Q49707629>	"John Dalton"@en	"Australian architect"@en	1927	2007
"William James"@en	<http://www.wikidata.org/entity/Q21191050>	"William James"@en	"Australian army general and military surgeon (1930-2015)"@en	1930	2015
"William Jones"@en	<http://www.wikidata.org/entity/Q8013734>	"William Jones"@en	"Australian-born English cricketer (born 1990)"@en	1990	
"Peter Mitchell"@en	<http://www.wikidata.org/entity/Q7175907>	"Peter Mitchell"@en	"Australian journalist"@en	1960	
"David Marr"@en	<http://www.wikidata.org/entity/Q5237147>	"David Marr"@en	"Australian journalist, barrister, biographer, and political and social commentator (born 1947)"@en	1947	
"William James"@en	<http://www.wikidata.org/entity/Q6129853>	"James Blair"@en	"Australian judge (1870–1944)"@en	1870	1944
"William Jones"@en	<http://www.wikidata.org/entity/Q60017738>	"William Jones"@en	"Australian politician"@en		
"William James"@en	<http://www.wikidata.org/entity/Q8013418>	"William James"@en	"Australian rules footballer, born 1900 (1900–1966)"@en	1900	1966
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q6173965>	"William Shakespeare"@en	"Australian singer (1948–2010)"@en	1948	2010
"William Jones"@en	<http://www.wikidata.org/entity/Q8013730>	"William Jones"@en	"Australian sprint canoer who competed in the late 1950s"@en	1931	
"Kurt Gödel"@en	<http://www.wikidata.org/entity/Q41390>	"Kurt Gödel"@en	"Austrian-American logician, mathematician, and philosopher of mathematics (1906–1978)"@en	1906	1978
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q1737679>	"Klaus Schmidt"@en	"Austrian association football player"@en	1967	
"Klaus Schmidt"@en	<http://www.wikidata.org/entity/Q1745666>	"Klaus Schmidt"@en	"Austrian mathematician"@en	1943	
"Ludwig Boltzmann"@en	<http://www.wikidata.org/entity/Q84296>	"Ludwig Boltzmann"@en	"Austrian physicist and philosopher (1844–1906)"@en	1844	1906
"Michael Levin"@en	<http://www.wikidata.org/entity/Q6830734>		"author"@en	1958	
"Hildegard"@en	<http://www.wikidata.org/entity/Q61241>	"Princess Hildegard Louise of Bavaria"@en	"Bavarian princess (1825-1864)"@en	1825	1864
"Georges Lemaître"@en	<http://www.wikidata.org/entity/Q12998>	"Georges Lemaître"@en	"Belgian astrophysicist and Catholic priest (1894–1966)"@en	1894	1966
"Michael Levin"@en	<http://www.wikidata.org/entity/Q39444955>	"Michael Levin"@en	"biologist at Tufts University"@en	1969	
"William Jones"@en	<http://www.wikidata.org/entity/Q76194557>	"William Jones"@en	"(born 1692)"@en	1692	
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q76164678>	"William Shakespeare"@en	"(born 1757)"@en	1757	
"William James"@en	<http://www.wikidata.org/entity/Q76315277>	"William Haughton James"@en	"(born 1774)"@en	1774	
"William James"@en	<http://www.wikidata.org/entity/Q98916561>	"William James"@en	"born 1797; died 1868"@en	1797	1868
"James Hutton"@en	<http://www.wikidata.org/entity/Q99237544>	"James Hutton"@en	"born 1818; died 1893"@en	1818	1893
"William James"@en	<http://www.wikidata.org/entity/Q76315462>	"William Rhodes James"@en	"(born 1850)"@en	1850	
"William Jones"@en	<http://www.wikidata.org/entity/Q75542328>	"William Roy Jones"@en	"(born 1900)"@en	1900	
"William Jones"@en	<http://www.wikidata.org/entity/Q76304813>	"William Edward Robert Jones"@en	"(born 1981)"@en	1981	
"William Jones"@en	<http://www.wikidata.org/entity/Q75747833>	"William David Studley Jones"@en	"(born 1994)"@en	1994	
"Augustine"@en	<http://www.wikidata.org/entity/Q33662572>	"Jomy Augustine"@en	"botanist"@en		
"Isaac Newton"@en	<http://www.wikidata.org/entity/Q16337590>	"Isaac Newton"@en	"Brazilian politician (1934-2014)"@en	1934	2014
"William Jones"@en	<http://www.wikidata.org/entity/Q125211936>	"William Jones"@en	"British architect"@en		1757
"Michael Ventris"@en	<http://www.wikidata.org/entity/Q259378>	"Michael Ventris"@en	"British architect and linguist (1922-1956)"@en	1922	1956
"William James"@en	<http://www.wikidata.org/entity/Q76156094>	"William James"@en	"British Army Officer"@en	1761	1820
"John Dalton"@en	<http://www.wikidata.org/entity/Q18559781>	"John Dalton"@en	"British army officer in the East India Company"@en	1726	1811
"William James"@en	<http://www.wikidata.org/entity/Q98687085>	"William James"@en	"British artist"@en	1730	1780
"William Jones"@en	<http://www.wikidata.org/entity/Q98673935>	"William Jones"@en	"British artist (fl. 1726)"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q65640342>	"William Jones"@en	"British badminton player (born 2001)"@en	2001	
"John Dalton"@en	<http://www.wikidata.org/entity/Q3181320>	"John Dalton"@en	"British bass guitarist"@en	1943	
"Frederick Sanger"@en	<http://www.wikidata.org/entity/Q151564>	"Frederick Sanger"@en	"British biochemist (1918–2013)"@en	1918	2013
"Nick Lane"@en	<http://www.wikidata.org/entity/Q7027454>	"Nick Lane"@en	"British biochemist and writer (born 1967)"@en	1967	
"John Dalton"@en	<http://www.wikidata.org/entity/Q41284>	"John Dalton"@en	"British chemist and mathematician (1766–1844)"@en	1766	1844
"Rosalind Franklin"@en	<http://www.wikidata.org/entity/Q7474>	"Rosalind Franklin"@en	"British chemist, biophysicist, and X-ray crystallographer (1920–1958)"@en	1920	1958
"William Jones"@en	<http://www.wikidata.org/entity/Q8013719>	"William Jones"@en	"British clergyman and author (1726–1800)"@en	1726	1800
"William James"@en	<http://www.wikidata.org/entity/Q51091194>	"Willian James"@en	"British engineer (1854–1889)"@en	1854	1889
"Charles Lyell"@en	<http://www.wikidata.org/entity/Q5333>	"Charles Lyell"@en	"British geologist (1797–1875)"@en	1797	1875
"William James"@en	<http://www.wikidata.org/entity/Q8013421>	"William James"@en	"British lawyer and naval historian"@en	1780	1827
"Peter Mitchell"@en	<http://www.wikidata.org/entity/Q56631954>	"Peter Mitchell"@en	"British locomotive historian"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q137832242>	"William Jones"@en	"British mechanical engineer"@en		
"William James"@en	<http://www.wikidata.org/entity/Q26213256>	"William James"@en	"British Member of Parliament (1791-1861)"@en	1791	1861
"David Marr"@en	<http://www.wikidata.org/entity/Q92844>	"David Marr"@en	"British neuroscientist and psychologist (1945–1980)"@en	1945	1980
"William Shakespeare"@en	<http://www.wikidata.org/entity/Q8018314>	"William Shakespeare"@en	"British opera singer (1849–1931)"@en	1849	1931
"William James"@en	<http://www.wikidata.org/entity/Q98834314>	"William James"@en	"British painter, active 1754-1771"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q97948829>	"William Jones"@en	"British painter, active 1764-1775"@en		
"Peter Mitchell"@en	<http://www.wikidata.org/entity/Q23682426>	"Peter Mitchell"@en	"British photographer"@en	1943	
"William Jones"@en	<http://www.wikidata.org/entity/Q8013725>	"William Jones"@en	"British politician; (1859-1915)"@en	1859	1915
"William Jones"@en	<http://www.wikidata.org/entity/Q8013743>	"William Jones"@en	"British politician who sat in the House of Commons in 1614"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q21465742>	"William Jones"@en	"British portrait artist, 1775-1837"@en	1775	1837
"William Jones"@en	<http://www.wikidata.org/entity/Q108359420>	"William Jones"@en	"British QC"@en	1866	1960
"John Dalton"@en	<http://www.wikidata.org/entity/Q17814186>	"John Dalton"@en	"British racing driver"@en	1930	
"William Jones"@en	<http://www.wikidata.org/entity/Q108162140>	"William Jones"@en	"British Royal Navy officer, captain in 1828 (died 1846)"@en		1846
"William Jones"@en	<http://www.wikidata.org/entity/Q108162142>	"William Jones"@en	"British Royal Navy officer, entered 1805, lieutenant in 1815"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q108162144>	"William Jones"@en	"British Royal Navy officer, entered 1807, lieutenant in 1815"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q108162141>	"William Jones"@en	"British Royal Navy officer, lieutenant in 1809 (1783-?)"@en	1783	
"William James"@en	<http://www.wikidata.org/entity/Q108162608>	"William James"@en	"British Royal Navy officer, lieutenant in 1815"@en		
"William James"@en	<http://www.wikidata.org/entity/Q16206056>	"William James"@en	"British rugby league footballer (1920s)"@en		
"Paul Dirac"@en	<http://www.wikidata.org/entity/Q47480>	"Paul Dirac"@en	"British theoretical physicist (1902–1984)"@en	1902	1984
"William Jones"@en	<http://www.wikidata.org/entity/Q61919067>	"William Jones"@en	"British wrestler (fl. 1908)"@en	1883	1942
"Isaac Newton"@en	<http://www.wikidata.org/entity/Q21554518>	"Isaac Newton"@en	"Cambridge alumni (1632?-1730?)"@en	1632	1730
"Isaac Newton"@en	<http://www.wikidata.org/entity/Q21554519>	"Isaac Newton"@en	"Cambridge alumni (1727?-1825?)"@en	1727	1825
"William James"@en	<http://www.wikidata.org/entity/Q7340632>	"William James"@en	"Canadian photographer (1866–1948)"@en	1866	1948
"Peter Mitchell"@en	<http://www.wikidata.org/entity/Q2090332>	"Peter Mitchell"@en	"Canadian politician (1824-1899)"@en	1824	1899
"William Jones"@en	<http://www.wikidata.org/entity/Q107143832>	"William Jones"@en	"Canadian sailor"@en	1995	
"William Jones"@en	<http://www.wikidata.org/entity/Q20737683>	"William Jones"@en	"Canadian sports shooter (1928-2017)"@en	1928	2017
"William Jones"@en	<http://www.wikidata.org/entity/Q56179863>	"William Jones"@en	"candlemaker and church founder in Porthmadog"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q106418333>	"William Jones"@en	"carpenter, buillder and mayor"@en	1840	1918
"William Jones"@en	<http://www.wikidata.org/entity/Q91249334>	"William D Jones"@en	"Cell and Molecular Biology researcher (ORCID 0000-0002-5568-3035)"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q87671687>	"William Jones"@en	"chemistry researcher (ORCID 0000-0002-4690-4852)"@en		
"Augustine"@en	<http://www.wikidata.org/entity/Q8018>	"Augustine of Hippo"@en	"Christian theologian, philosopher, and saint (354–430)"@en	354	430
"Augustine of Hippo"@en	<http://www.wikidata.org/entity/Q8018>	"Augustine of Hippo"@en	"Christian theologian, philosopher, and saint (354–430)"@en	354	430
"William Jones"@en	<http://www.wikidata.org/entity/Q18672859>	"William Jones"@en	"Church of England clergyman (1561–1636)"@en	1561	1636
"William Jones"@en	<http://www.wikidata.org/entity/Q18672860>	"William Jones"@en	"Church of England clergyman (born 1581/2, died in or before 1636)"@en	1581	
"William Jones"@en	<http://www.wikidata.org/entity/Q100863906>	"William Jones"@en	"college basketball player (1966–1968) Fairfield"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q100863904>	"William Jones"@en	"college basketball player (1986–1986) Mercer"@en		
"William Jones"@en	<http://www.wikidata.org/entity/Q95660593>	"William Jones"@en	"Computing researcher ORCID 0000-0003-4624-9031"@en		
"Sappho"@en	<http://www.wikidata.org/entity/Q140388855>	"Hypnotist Sappho"@en	"controversial YouTuber and Internet personality"@en	2100	
"William Jones"@en	<http://www.wikidata.org/entity/Q8013733>	"William Jones"@en	"convict transported to Western Australia, and later became one of the colony's ex-convict school teachers"@en	1827	1871
