score	concepts	kinds	video	timestamp	url_ts	text
8	vitamin-d	causes,because,only	Neuro Surgeon by Day | Mito Hacker By Night | Dr. Jack Kruse	00:55:25.910	https://www.youtube.com/watch?v=I537lQoiu5c&t=3325	"... One of the things that I love doing because you know I'm a shit stirrer in medicine, I love sitting down with the dermatologists and say, ""Tell me, why is it that people have the highest rates of melanoma and skin cancers, have the lowest levels of Vitamin D, if UV light is the cause, and we know that 312 nano of light is the only thing that converts cholesterol to the active form of Vitamin D"
8	vitamin-d	causes,because,only	Neuro Surgeon by Day | Mito Hacker By Night | Dr. Jack Kruse	00:55:31.369	https://www.youtube.com/watch?v=I537lQoiu5c&t=3331	"love sitting down with the dermatologists and say, ""Tell me, why is it that people have the highest rates of melanoma and skin cancers, have the lowest levels of Vitamin D, if UV light is the cause, and we know that 312 nano of light is the only thing that converts cholesterol to the active form of Vitamin D."" They just look at you and dribble on themselves, because this is in their literature."
8	vitamin-d	causes,because,only	Neuro Surgeon by Day | Mito Hacker By Night | Dr. Jack Kruse	00:55:36.470	https://www.youtube.com/watch?v=I537lQoiu5c&t=3336	"the highest rates of melanoma and skin cancers, have the lowest levels of Vitamin D, if UV light is the cause, and we know that 312 nano of light is the only thing that converts cholesterol to the active form of Vitamin D."" They just look at you and dribble on themselves, because this is in their literature. They know it, but you know what they haven't been able to explain?"
8	vitamin-d	causes,because,only	Neuro Surgeon by Day | Mito Hacker By Night | Dr. Jack Kruse	00:55:42.489	https://www.youtube.com/watch?v=I537lQoiu5c&t=3342	"light is the cause, and we know that 312 nano of light is the only thing that converts cholesterol to the active form of Vitamin D."" They just look at you and dribble on themselves, because this is in their literature. They know it, but you know what they haven't been able to explain? Why the incidence of melanoma on the skin and in the eye, is exponentially greater today"
8	EMF	never,must,evidence	Beyond DNA: The Electromagnetic Blueprint of Life - Jack Kru	00:50:56.160	https://www.youtube.com/watch?v=zrdRVDk66JE&t=3056	science is maybe we need to go back and re-look at this with A New Perspective now that never happened but that study was out there and we now know there is non-native EMF effects the the reason
8	mitochondria	always,never,because	Beyond DNA: The Electromagnetic Blueprint of Life - Jack Kru	01:11:24.060	https://www.youtube.com/watch?v=zrdRVDk66JE&t=4284	benefits for mitochondria why because sunlight always has red in it when Blue's available but guess what your iPhone never does that's the whole [&nbsp;__&nbsp;] point that's the reason I'm very
8	melanin	never,because,i-proved	Beyond DNA: The Electromagnetic Blueprint of Life - Jack Kru	02:19:45.300	https://www.youtube.com/watch?v=zrdRVDk66JE&t=8385	fascinated by it since I'm a little boy but I didn't know what melanin really did until I got to be about 40 years old then when I figured out I'm like this is the [&nbsp;__&nbsp;] Greatest Story never told
8	quantum	always,never,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	03:18:13.200	https://www.youtube.com/watch?v=zs82rGFo6qg&t=11893	he was eating the french fries when the&nbsp; accident occurred this is a lady who never ate&nbsp;&nbsp; potatoes now Andrew the reason I'm telling&nbsp; you this story as a neurosurgeon you know&nbsp;&nbsp; there's nothing in our textbooks that can&nbsp; explain this but the quantum coherence of&nbsp;&nbsp; water and the story about Luke Montagne can that&nbsp; happened before Montagne ever did h
7	melanin,mitochondria	always,must,because	Dr. Jack Kruse: Decentralizing Medicine and Shaping Future H	02:01:40.679	https://www.youtube.com/watch?v=OJaR2XgTmPI&t=7300	understand this there is a reason that all five of our senses and the six sense which is our mitochondria has paly and melanin always between the environment why because it has to sense that issue
7	melanin,mitochondria	always,must,because	Dr. Jack Kruse: Decentralizing Medicine and Shaping Future H	02:01:43.360	https://www.youtube.com/watch?v=OJaR2XgTmPI&t=7303	all five of our senses and the six sense which is our mitochondria has paly and melanin always between the environment why because it has to sense that issue why because if it doesn't the resulting
7	melanin,mitochondria	always,must,because	Dr. Jack Kruse: Decentralizing Medicine and Shaping Future H	02:01:47.079	https://www.youtube.com/watch?v=OJaR2XgTmPI&t=7307	which is our mitochondria has paly and melanin always between the environment why because it has to sense that issue why because if it doesn't the resulting waveform that comes out of the thalamus
7	melanin,oxygen	always,must,because	Interview with Dr. Jack Kruse (04-08-2025)	00:54:37.120	https://www.youtube.com/watch?v=wwNutyiyQ2I&t=3277	There's no oxygen there. What else isn't there? There's no melanin, either. And why is that the case? Because it's always photo-oxidized all the time. So, that means it has to
7	mitochondria	must,because,evidence	Red Light, Blue Light, Brain Damage: Dr. Jack Kruse Explains	00:42:05.920	https://www.youtube.com/watch?v=2njvFN-W4zc&t=2525	mitochondrial DNA that we're talking about because you need to understand well yeah that's a big deal. And then when you think about the things that we now know that when we monitor
7	circadian	always,must,because	The Most Epic Jack Kruse Interview EVER! EP #75 & #76, The L	01:16:05.280	https://www.youtube.com/watch?v=5W6x7EsE8C4&t=4565	developing cancer. Why? Because this growth is sped up. That's what the clocks do. That's what circadian biology is all about. So, the way we're built, the top clock always has to run faster
7	mitochondria	never,must,because	Sunlight Is the Source of Life | Dr. Jack Kruse | EP 04	00:11:27.240	https://www.youtube.com/watch?v=6ClqKnD10p4&t=687	need to understand the details of why and you're never really going to understand why we spend 99 of the NIH Budget on on studying nuclear DNA and not mitochondrial DNA because it was
7	circadian	never,must,because	Sunlight Is the Source of Life | Dr. Jack Kruse | EP 04	00:37:43.260	https://www.youtube.com/watch?v=6ClqKnD10p4&t=2263	and never need the prescription part the lever needs to go see the doctor no because you'll have optimized circadian biology because circadian
7	becker	never,causes,because	Episode 19: Dr. Jack Kruse - The Light Connection: ADHD, Sle	01:27:06.360	https://www.youtube.com/watch?v=IHSMqhrfvaU&t=5226	is maybe how we end the wounds create the wisdom you have to embrace the suck the chaos why because what did Becker tell us the wound creates the Regeneration and it's never a bad thing
7	becker	never,causes,because	Episode 19: Dr. Jack Kruse - The Light Connection: ADHD, Sle	01:27:08.800	https://www.youtube.com/watch?v=IHSMqhrfvaU&t=5228	the wisdom you have to embrace the suck the chaos why because what did Becker tell us the wound creates the Regeneration and it's never a bad thing if you learn the lesson from the wound
7	becker	never,causes,because	Episode 19: Dr. Jack Kruse - The Light Connection: ADHD, Sle	01:27:11.360	https://www.youtube.com/watch?v=IHSMqhrfvaU&t=5231	the chaos why because what did Becker tell us the wound creates the Regeneration and it's never a bad thing if you learn the lesson from the wound you know when it is a bad thing when you
7	melanin	always,must,because	Dr. Jack Kruse: Decentralizing Medicine and Shaping Future H	02:01:51.159	https://www.youtube.com/watch?v=OJaR2XgTmPI&t=7311	melanin always between the environment why because it has to sense that issue why because if it doesn't the resulting waveform that comes out of the thalamus is not going to be accurate what does
7	oxygen	always,only	How The Earth Was Made: From Molten Rock to Green Planet | F	00:00:20.854	https://www.youtube.com/watch?v=WgjBaXpuSE4&t=20	of rock 25,000 miles around. It is a refuge. 1/3 land, 2/3 water, and with an atmosphere rich in oxygen, it is the only known home in the universe for living creatures. But this blue-green oasis has not always been so welcoming.
7	oxygen	always,only	How The Earth Was Made: From Molten Rock to Green Planet | F	00:00:25.692	https://www.youtube.com/watch?v=WgjBaXpuSE4&t=25	It is a refuge. 1/3 land, 2/3 water, and with an atmosphere rich in oxygen, it is the only known home in the universe for living creatures. But this blue-green oasis has not always been so welcoming. The planet bears the scars of a traumatic past,
7	oxygen	always,only	How The Earth Was Made: From Molten Rock to Green Planet | F	00:00:30.280	https://www.youtube.com/watch?v=WgjBaXpuSE4&t=30	1/3 land, 2/3 water, and with an atmosphere rich in oxygen, it is the only known home in the universe for living creatures. But this blue-green oasis has not always been so welcoming. The planet bears the scars of a traumatic past, a past of extreme environments, and extreme catastrophes.
7	blue-light	causes,because,i-proved	Blue Light, EMF, Circadian Rhythm, Mitochondria and Quantum 	00:05:44.229	https://www.youtube.com/watch?v=X5WCYlaPAwM&t=344	and his papers that were published in science challenged that in a big way and I've been saying that for 15 years because it's how I figured out that blue light was the cause of my obesity and
7	blue-light	causes,because,i-proved	Blue Light, EMF, Circadian Rhythm, Mitochondria and Quantum 	00:05:45.850	https://www.youtube.com/watch?v=X5WCYlaPAwM&t=345	science challenged that in a big way and I've been saying that for 15 years because it's how I figured out that blue light was the cause of my obesity and simplified my gut flora and what I did
7	blue-light	causes,because,i-proved	Blue Light, EMF, Circadian Rhythm, Mitochondria and Quantum 	00:05:48.669	https://www.youtube.com/watch?v=X5WCYlaPAwM&t=348	I've been saying that for 15 years because it's how I figured out that blue light was the cause of my obesity and simplified my gut flora and what I did is I used the central retinal pathways
7	blue-light	causes,because,i-proved	Blue Light, EMF, Circadian Rhythm, Mitochondria and Quantum 	00:05:50.680	https://www.youtube.com/watch?v=X5WCYlaPAwM&t=350	because it's how I figured out that blue light was the cause of my obesity and simplified my gut flora and what I did is I used the central retinal pathways and my skin as well as my gut surface to
7	melanin	always,because,fundamental	Uncomfortable Truths with Dr Jack Kruse	02:11:58.739	https://www.youtube.com/watch?v=Zka4Lnire1k&t=7918	had with mushrooms when I was a teenager had no effect on me at all and I think the reason for that is because my brain has always had pretty good melanin in it uh and I fundamentally believe that
7	melanin	always,because,fundamental	Uncomfortable Truths with Dr Jack Kruse	02:12:00.719	https://www.youtube.com/watch?v=Zka4Lnire1k&t=7920	had no effect on me at all and I think the reason for that is because my brain has always had pretty good melanin in it uh and I fundamentally believe that these medications help people
7	melanin	always,because,fundamental	Uncomfortable Truths with Dr Jack Kruse	02:12:03.599	https://www.youtube.com/watch?v=Zka4Lnire1k&t=7923	the reason for that is because my brain has always had pretty good melanin in it uh and I fundamentally believe that these medications help people who have very poor melanin renovation in
7	pollack	always,because,fundamental	Godfather of Quantum Biology: Upbringing, Andrew Huberman, L	01:00:13.720	https://www.youtube.com/watch?v=amM835C0i94&t=3613	is why you know I fundamentally have a problem with anybody who's like Casey means Cali means uberman even Jerry poock you know I put Pollack in there because you know he he always cries well
7	pollack	always,must,because	Godfather of Quantum Biology: Upbringing, Andrew Huberman, L	01:00:19.079	https://www.youtube.com/watch?v=amM835C0i94&t=3619	means Cali means uberman even Jerry poock you know I put Pollack in there because you know he he always cries well I need more money to do it I dude how much money do you need to go to Petco
7	pollack	always,must,because	Godfather of Quantum Biology: Upbringing, Andrew Huberman, L	01:00:21.359	https://www.youtube.com/watch?v=amM835C0i94&t=3621	poock you know I put Pollack in there because you know he he always cries well I need more money to do it I dude how much money do you need to go to Petco and buy a UV Bowl and get some dyum
7	red-light	never,must,because	#57 - Dr. Jack Kruse	01:28:25.600	https://www.youtube.com/watch?v=drdn_hDGALk&t=5305	utilizing anybody's red light panel that's LED based, you will never change the dialectric constant of their fluid. Is that a study that needs to be done? Yes. Because when people begin to
7	blue-light	always,must,because	Dr. Jack Kruse Lost 133 lbs in 1 Year Without Exercising - W	00:17:42.679	https://www.youtube.com/watch?v=fskWPCapafI&t=1062	blue-blocking glasses or actually use amber bulbs in your house at nighttime because you really need to cut all blue light exposure. And you know, I I always like
7	blue-light	always,must,because	Dr. Jack Kruse Lost 133 lbs in 1 Year Without Exercising - W	00:17:44.960	https://www.youtube.com/watch?v=fskWPCapafI&t=1064	amber bulbs in your house at nighttime because you really need to cut all blue light exposure. And you know, I I always like to tell people, think about the Pink
7	blue-light	always,must,because	Dr. Jack Kruse Lost 133 lbs in 1 Year Without Exercising - W	00:17:47.040	https://www.youtube.com/watch?v=fskWPCapafI&t=1067	bulbs in your house at nighttime because you really need to cut all blue light exposure. And you know, I I always like to tell people, think about the Pink Floyd album back from, you know, the
7	blue-light	never,causes,because	Jack Kruse on How Light sculpts Your Microbiome & Implicatio	00:40:30.880	https://www.youtube.com/watch?v=g_rlcavhGLs&t=2430	turns out that you have to turn on riboflavin and if riboflavin is not in your diet why because blue light will destroy it that's one of the causes of Lupton resistance you know then it turns out that your microbiome simplifies that's how Jack got fat and I realized that this was a big issue the problem I never knew so I didn't know the link to
7	blue-light	never,causes,because	Jack Kruse on How Light sculpts Your Microbiome & Implicatio	00:40:35.240	https://www.youtube.com/watch?v=g_rlcavhGLs&t=2435	your diet why because blue light will destroy it that's one of the causes of Lupton resistance you know then it turns out that your microbiome simplifies that's how Jack got fat and I realized that this was a big issue the problem I never knew so I didn't know the link to melanopsin until about truly about 2014 that's when everything fell into place
7	EMF	always,causes,because	Dr Jack Kruse On Biohacking Your Water, EMFs, Blue Light, DH	01:24:56.040	https://www.youtube.com/watch?v=kZZSLQFZnQM&t=5096	don't feel an effect from it I was always wondering well if grounding is so important why is this not producing any effect for me well a lot of times it's because most of them cause their own EMF
7	EMF	always,causes,because	Dr Jack Kruse On Biohacking Your Water, EMFs, Blue Light, DH	01:24:58.199	https://www.youtube.com/watch?v=kZZSLQFZnQM&t=5098	always wondering well if grounding is so important why is this not producing any effect for me well a lot of times it's because most of them cause their own EMF problems to begin with and remember I'm
7	mitochondria	never,causes,because	Optimize Your Health in the Modern World with Dr. Jack Kruse	01:07:54.880	https://www.youtube.com/watch?v=mYMUiOMkKMM&t=4074	there is cause and effect and we want to keep you there because that's the gold standard if we can keep you focused on RNA and DNA you'll never get to the mitochondrial DNA thing where actually
7	photoelectric	only,i-proved	Optimize Your Health in the Modern World with Dr. Jack Kruse	01:46:51.639	https://www.youtube.com/watch?v=mYMUiOMkKMM&t=6411	looked at what Helm holds did I looked about what Herz did I looked at the thermodynamic gens and he goes I figured out the photoelectric effect this is the only way it could work could you expand
7	photoelectric	only,i-proved	Optimize Your Health in the Modern World with Dr. Jack Kruse	01:46:54.440	https://www.youtube.com/watch?v=mYMUiOMkKMM&t=6414	about what Herz did I looked at the thermodynamic gens and he goes I figured out the photoelectric effect this is the only way it could work could you expand on what the photoelectric effect is yeah
7	photoelectric	only,i-proved	Optimize Your Health in the Modern World with Dr. Jack Kruse	01:46:55.719	https://www.youtube.com/watch?v=mYMUiOMkKMM&t=6415	thermodynamic gens and he goes I figured out the photoelectric effect this is the only way it could work could you expand on what the photoelectric effect is yeah it's the electrons in an atom gets
7	EMF	always,causes,because	Dr. Jack Kruse: Circadian Biology, Melanin & How To Heal You	01:50:04.860	https://www.youtube.com/watch?v=mfXkXp37oZM&t=6604	that you have other uh needs and requirements in&nbsp; you that eating a a vegan diet or a vegetarian&nbsp;&nbsp; diet it's not wise now it doesn't mean you&nbsp; can't get away doing it for a long time we saw&nbsp;&nbsp; that for 5 000 years people in Southern India&nbsp; were able to do it but guess what people in&nbsp;&nbsp; Southern India used to be constantly outside&nbsp; no non-native EMF a
7	EMF	always,causes,because	Dr. Jack Kruse: Circadian Biology, Melanin & How To Heal You	01:50:09.660	https://www.youtube.com/watch?v=mfXkXp37oZM&t=6609	diet it's not wise now it doesn't mean you&nbsp; can't get away doing it for a long time we saw&nbsp;&nbsp; that for 5 000 years people in Southern India&nbsp; were able to do it but guess what people in&nbsp;&nbsp; Southern India used to be constantly outside&nbsp; no non-native EMF always in the sun grounded&nbsp;&nbsp; now in the last 25 years since Google and Facebook&nbsp; moved all their stu
7	EMF	always,causes,because	Dr. Jack Kruse: Circadian Biology, Melanin & How To Heal You	01:50:17.220	https://www.youtube.com/watch?v=mfXkXp37oZM&t=6617	that for 5 000 years people in Southern India&nbsp; were able to do it but guess what people in&nbsp;&nbsp; Southern India used to be constantly outside&nbsp; no non-native EMF always in the sun grounded&nbsp;&nbsp; now in the last 25 years since Google and Facebook&nbsp; moved all their stuff over there they create they&nbsp;&nbsp; have created the most diabetics in the world&nbsp; combined wow m
7	EMF	always,causes,because	Dr. Jack Kruse: Circadian Biology, Melanin & How To Heal You	01:50:24.180	https://www.youtube.com/watch?v=mfXkXp37oZM&t=6624	Southern India used to be constantly outside&nbsp; no non-native EMF always in the sun grounded&nbsp;&nbsp; now in the last 25 years since Google and Facebook&nbsp; moved all their stuff over there they create they&nbsp;&nbsp; have created the most diabetics in the world&nbsp; combined wow most people don't even know that&nbsp;&nbsp; yeah 180 million people have become diabetic and&nbsp; vegetaria
7	mitochondria	never,causes,because	Dr. Jack Kruse: Circadian Biology, Melanin & How To Heal You	01:58:37.380	https://www.youtube.com/watch?v=mfXkXp37oZM&t=7117	what we just said should be no shock or why you&nbsp; never want to use fluoride why because it means&nbsp;&nbsp; that your water has lost the ability to imprint&nbsp; light inflammation and energy in it therefore&nbsp;&nbsp; there's not going to be the information&nbsp; transfer in your body that's the fundamental&nbsp;&nbsp; reason why what else does it do it's what I told&nbsp; uberman is that 
7	mitochondria	never,only	Interview with Dr. Jack Kruse (04-08-2025)	00:52:51.080	https://www.youtube.com/watch?v=wwNutyiyQ2I&t=3171	about the inner mitochondrial membrane? Two things. Doesn't have DHA in it. That should stop you cuz DHA is the only lipid that's never been replaced in 600
7	melanin	always,must,because	Interview with Dr. Jack Kruse (04-08-2025)	00:54:38.680	https://www.youtube.com/watch?v=wwNutyiyQ2I&t=3278	there? There's no melanin, either. And why is that the case? Because it's always photo-oxidized all the time. So, that means it has to be turned over constantly. Doesn't that
7	mitochondria	causes,because,i-proved	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	00:30:50.580	https://www.youtube.com/watch?v=zs82rGFo6qg&t=1850	and you can put it underneath there and if you&nbsp; look at the blogs that I wrote for you gentlemen&nbsp;&nbsp; I showed you pictures of living things flowers&nbsp; and you can see the emission you asked me a&nbsp;&nbsp; question about the light I'm telling you the key&nbsp; to this story is the light that we create inside&nbsp;&nbsp; now you're probably going to see the Quantum Leap&nbsp; that 
7	mitochondria	causes,because,i-proved	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	00:31:01.320	https://www.youtube.com/watch?v=zs82rGFo6qg&t=1861	I showed you pictures of living things flowers&nbsp; and you can see the emission you asked me a&nbsp;&nbsp; question about the light I'm telling you the key&nbsp; to this story is the light that we create inside&nbsp;&nbsp; now you're probably going to see the Quantum Leap&nbsp; that happen for me at Michelangelo's statue I&nbsp;&nbsp; realized that I needed to learn more about physics&nbsp; beca
7	melanin	never,must,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	01:04:10.920	https://www.youtube.com/watch?v=zs82rGFo6qg&t=3850	sidebars because I think it fills in the gaps&nbsp; that's something I learned from Rick's book&nbsp;&nbsp; that we need to talk about either the&nbsp; sidebars and throw it all together so&nbsp;&nbsp; you never know you never know what somebody&nbsp; else is going to get but I want to give you&nbsp;&nbsp; guys in total how this happened to me because&nbsp; the story is unbelievable I can't believ
7	melanin	never,must,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	01:04:14.520	https://www.youtube.com/watch?v=zs82rGFo6qg&t=3854	that we need to talk about either the&nbsp; sidebars and throw it all together so&nbsp;&nbsp; you never know you never know what somebody&nbsp; else is going to get but I want to give you&nbsp;&nbsp; guys in total how this happened to me because&nbsp; the story is unbelievable I can't believe it um getting emotional about it so the little&nbsp; creatures take the melanin and they internalize&nbsp;
7	photosynthesis	never,causes,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	01:30:19.740	https://www.youtube.com/watch?v=zs82rGFo6qg&t=5419	um I found that person you know what my crazy&nbsp; question was before I did this biohack on myself&nbsp;&nbsp; I said how long I I if the KT asteroid was six&nbsp; miles wide how long was photosynthesis disrupted&nbsp;&nbsp; to cause this process I thought you know from&nbsp; the books I had read they said anywhere from&nbsp;&nbsp; 100 to A Thousand Years I'm going that's kind of&nbsp; impossibl
7	photosynthesis	never,causes,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	01:30:24.540	https://www.youtube.com/watch?v=zs82rGFo6qg&t=5424	I said how long I I if the KT asteroid was six&nbsp; miles wide how long was photosynthesis disrupted&nbsp;&nbsp; to cause this process I thought you know from&nbsp; the books I had read they said anywhere from&nbsp;&nbsp; 100 to A Thousand Years I'm going that's kind of&nbsp; impossible to have the food chain disrupted that&nbsp;&nbsp; long for animals to survive because remember&nbsp; all the fo
7	photosynthesis	never,causes,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	01:30:29.700	https://www.youtube.com/watch?v=zs82rGFo6qg&t=5429	to cause this process I thought you know from&nbsp; the books I had read they said anywhere from&nbsp;&nbsp; 100 to A Thousand Years I'm going that's kind of&nbsp; impossible to have the food chain disrupted that&nbsp;&nbsp; long for animals to survive because remember&nbsp; all the food web and this plant is tied to&nbsp;&nbsp; photosynthesis contrary to what the food girls&nbsp; tell you um the 
7	red-light	always,must,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	02:20:10.260	https://www.youtube.com/watch?v=zs82rGFo6qg&t=8410	PBM which is you know 600 to 1100 nanometer&nbsp; light actually does something that big Pharma&nbsp;&nbsp; has a pill for it is red light always the solution&nbsp; red light is uh I will tell you it's the base the&nbsp;&nbsp; one thing you need to know about red light is&nbsp; from the time the sun up to the time Sun's down&nbsp;&nbsp; uh red light is present now here's the interesting&nbsp; thin
7	red-light	always,must,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	02:20:15.000	https://www.youtube.com/watch?v=zs82rGFo6qg&t=8415	has a pill for it is red light always the solution&nbsp; red light is uh I will tell you it's the base the&nbsp;&nbsp; one thing you need to know about red light is&nbsp; from the time the sun up to the time Sun's down&nbsp;&nbsp; uh red light is present now here's the interesting&nbsp; thing IRB IRC which is also in the Solar spectrum&nbsp;&nbsp; because solar Spectrum goes to 3100 like if you&nb
7	circadian	always,causes,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	02:41:37.319	https://www.youtube.com/watch?v=zs82rGFo6qg&t=9697	always say in circadian biology I didn't say it&nbsp; first of course like light is the most powerful&nbsp;&nbsp; zeitge Gaber time keeper because temperature will&nbsp; shift your circadian clock eating will change your&nbsp;&nbsp; circadian clock um so but light is it light is&nbsp; the most dominant but I want you to know why I&nbsp;&nbsp; I know that you know this fact but you know what&nbsp; 
6	melanin,mitochondria,circadian	must,causes,fundamental	Dr. Jack Kruse: Circadian Biology, Melanin & How To Heal You	00:53:13.920	https://www.youtube.com/watch?v=mfXkXp37oZM&t=3193	but I will tell you that some of the things about&nbsp; circadian biology some of the things that I write&nbsp;&nbsp; about some of the things I talk about death is the&nbsp; slowest form of of time we create or I should say&nbsp;&nbsp; maybe the other way around it was really bad um&nbsp; death is the slowest the slowest form of Health&nbsp;&nbsp; we create and we need to think about that we need
6	mitochondria,red-light,oxygen	must,causes,because	Jack Kruse & Andrew Huberman (Rick Rubin Tetragrammaton Podc	02:36:22.319	https://www.youtube.com/watch?v=zs82rGFo6qg&t=9382	from plus two to plus three what do you need to&nbsp; know you don't need to know a lot of fancy signs&nbsp;&nbsp; oxygen delivers to mitochondria when it's plus&nbsp; three and the reason why is what we talked to&nbsp;&nbsp; Andrew before about oxygen is Paramount what does&nbsp; that mean it's drawn to things with a magnetic&nbsp;&nbsp; field what is the atpase it's a faraday current&nbsp; elect
6	blue-light,EMF	must,causes,because	Regenerative Energy & the Light Inside You | Jack Kruse | 22	01:15:55.600	https://www.youtube.com/watch?v=67sLlXeMg2I&t=4555	from norcals work? We know that non-native EMF and blue light what's the fundamental thing they do? They cause a drop in NAD positive and pseudo hypoxia. That's all you need to know because what
6	blue-light,EMF	must,causes,because	Regenerative Energy & the Light Inside You | Jack Kruse | 22	01:15:57.840	https://www.youtube.com/watch?v=67sLlXeMg2I&t=4557	non-native EMF and blue light what's the fundamental thing they do? They cause a drop in NAD positive and pseudo hypoxia. That's all you need to know because what happens then? Blood glucose spikes. So
6	melanin,oxygen	never,evidence	Uncomfortable Truths with Dr Jack Kruse	00:59:22.140	https://www.youtube.com/watch?v=Zka4Lnire1k&t=3562	so when you have melanin you're creating huge amounts of oxygen tension in a Cell you're never going to be hypoxic well I want you to think about now biochemistry we now know clearly that when NAD
6	melanin,dopamine	causes,because,fundamental	#57 - Dr. Jack Kruse	01:01:59.920	https://www.youtube.com/watch?v=drdn_hDGALk&t=3719	leads to neurodeeneration. And fundamentally, this is the reason why everybody's addicted to things that emit microwaves and RF. Why? because it destroys your melanin, makes dopamine.
6	blue-light,EMF	must,causes,because	Jack Kruse on How Light sculpts Your Microbiome & Implicatio	00:40:22.520	https://www.youtube.com/watch?v=g_rlcavhGLs&t=2422	that's going on in the gut is radically different depending on the incident light EMF because it has to do with the free radical signal that's made and it turns out that you have to turn on riboflavin and if riboflavin is not in your diet why because blue light will destroy it that's one of the causes of Lupton resistance you know then it turns out
6	blue-light,EMF	must,causes,because	Jack Kruse on How Light sculpts Your Microbiome & Implicatio	00:40:27.170	https://www.youtube.com/watch?v=g_rlcavhGLs&t=2427	light EMF because it has to do with the free radical signal that's made and it turns out that you have to turn on riboflavin and if riboflavin is not in your diet why because blue light will destroy it that's one of the causes of Lupton resistance you know then it turns out that your microbiome simplifies that's how Jack got fat and I realized that
