cluster,node_ids,claim,new_tier,arxiv_id,date,kind,title,what_it_changes,journal_ref
hardware,H-supercon;H-fab,C-tls-scaling,T3,2605.15554v1,2026-05-15,experiment,Interface Piezoelectric Loss in Superconducting Qubits,Identifies interface piezoelectricity as distinct loss channel competing with/exceeding TLS at high frequencies; experimental evidence for new scaling constraint.,
hardware,H-silicon;S-qec,C-tls-scaling,T3,2605.20781v1,2026-05-20,experiment,Multi-Qubit Entanglement of Unit Cell Pairs in SiMOS,SiMOS 4-qubit multi-unit-cell coupling with 99%+ fidelities and preserved entanglement lifetime advances silicon scalability beyond isolated DQD units.,
hardware,H-supercon;S-qec,C-tls-scaling,T3,2605.23385v2,2026-05-22,experiment,Non-Local and Non-Markovian Effects of a Microscopic Two-Level Defect in Superconducting Quantum Circuits,Demonstrates tunable TLS coupling in scalable architecture; non-Markovian dynamics complicate error-correction models.,
hardware,H-supercon;H-fab,C-tls-scaling,T3,2607.00429v1,2026-07-01,experiment,Surface Platinum Alloying for Passivation of Oxide Interfaces on Superconducting Niobium Films,Demonstrates fab-level control of TLS density via Pt alloying; directly addresses surface-oxide scaling wall.,
algorithms(QEC),H-neutral;S-qec;O-overhead,C-overhead-ratio,T3,2604.16209v2,2026-04-17,experiment,Towards Ultra-High-Rate Quantum Error Correction with Reconfigurable Atom Arrays,"Demonstrates ultra-high-rate qLDPC codes (>1/2 encoding) with sub-threshold logical error rates on neutral atoms, directly addressing overhead reduction.",
algorithms(QEC),O-overhead;S-qec,C-overhead-ratio,T3,2604.25026v1,2026-04-27,experiment,Networked Realization of Quantum LDPC Codes,First circuit-level noise study of networked bivariate bicycle qLDPC codes; quantifies overhead under practical constraints.,
algorithms(QEC),O-overhead;S-qec;H-silicon,C-overhead-ratio,T3,2604.24739v2,2026-04-27,resource-estimate,CAbLECAR: efficiently scheduling QLDPC codes on a tileable spin qubit chip with shuttling,Circuit-level QLDPC scheduling on silicon spin qubits; identifies codes reducing logical error rates vs surface codes; quantifies overhead via shuttling range extension.,
algorithms(QEC),S-qec;O-overhead,C-overhead-ratio,T3,2605.01035v1,2026-05-01,experiment,A Scalable FPGA Architecture for Real-Time Decoding of Quantum LDPC Codes Using GARI,First multi-core FPGA decoder for qLDPC under correlated errors; 6× resource reduction advances practical overhead benchmarking.,
algorithms(QEC),O-overhead;S-qec,C-overhead-ratio,T3,2605.03180v1,2026-05-04,resource-estimate,Mitigating Classical Resource Costs in Quantum Error Correction via Generalized qLDPC Predecoding,"Demonstrates practical predecoding + hardware design reducing qLDPC decoder utilization 3,963x; scales to 36k–360k logical qubits on cryogenic ASIC.",
algorithms(QEC),O-overhead;S-qec,C-overhead-ratio,T3,2605.03854v1,2026-05-05,resource-estimate,Space-Time Tradeoffs of Pauli-Based Computation in Distributed qLDPC Architectures,Quantifies qLDPC execution-time overhead vs surface code in distributed architecture; demonstrates order-of-magnitude speedup with large blocks.,
algorithms(QEC),O-overhead;S-qec;H-ion;H-neutral,C-overhead-ratio,T3,2605.04663v1,2026-05-06,experiment,Distributed Quantum Error Correction with Bivariate Bicycle Codes in a Modular Architecture,Demonstrates distributed BB code logical error rates and pseudo-threshold on modular hardware; measures practical qLDPC overhead scaling.,
algorithms(QEC),S-qec;O-overhead,C-overhead-ratio,T3,2605.26522v1,2026-05-26,resource-estimate,A Resource Comparison of Logical T-State Preparation,Systematizes T-state preparation costs across distillation/cultivation/code-switching; clarifies overhead trade-offs under standardized comparison.,
algorithms(QEC),H-silicon;O-overhead;S-qec,C-overhead-ratio,T3,2605.28936v1,2026-05-27,resource-estimate,Hardware-Tailored Resource Estimation for Magic-State Distillation on Silicon Spin Qubits,Quantifies magic-state distillation overhead on silicon; biased codes achieve 3× footprint reduction vs surface code.,
algorithms(QEC),O-overhead;S-qec,C-overhead-ratio,T3,2606.02418v1,2026-06-01,experiment,Evolutionary Discovery of Bivariate Bicycle Codes with LLM-Guided Search,"Discovers new high-performing qLDPC codes; indecomposable [[288,16,12]] and codes with k=50, d=8 improve finite-length overhead data.",
algorithms(QEC),O-overhead;S-qec,C-overhead-ratio,T3,2606.03507v1,2026-06-02,experiment,Full Extractors for Logical Processing in Hypergraph Product Codes,Demonstrates full logical processing on HGP qLDPC codes with 50–80% size vs. base code; achieves 10⁻⁶ logical error at distance 10.,
algorithms(QEC),O-overhead;S-qec,C-overhead-ratio,T3,2606.06455v1,2026-06-04,experiment,Breakeven demonstration of quantum low-density parity-check codes,First experimental breakeven qLDPC code; 9× logical error-rate improvement over prior solid-state implementation.,
algorithms(QEC),O-overhead;S-qec,C-overhead-ratio,T3,2606.24808v1,2026-06-23,experiment,Large-Language-Model Discovery of Quantum LDPC Codes through Structured Concept Evolution,Demonstrates new qLDPC code families with measured overhead via BP+OSD decoding under realistic noise.,
algorithms(QEC),O-overhead;S-qec;H-neutral,C-overhead-ratio,T3,2606.25011v1,2026-06-23,resource-estimate,Fast and Parallel High-Rate STAR Architecture for Megaquop Quantum Simulation,High-rate QEC code integration achieves ~5.5× space reduction vs surface code; demonstrates co-designed algorithm-code-hardware overhead optimization.,
algorithms(QEC),O-overhead;S-qec,C-overhead-ratio,T3,2607.05897v1,2026-07-07,experiment,Strictly Local Tile-Code Architectures on Two-Dimensional Planar Lattices,Demonstrates routed tile-code overhead <surface-code at p<0.08%; validates qLDPC scaling under realistic connectivity constraints.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2604.12841v1,2026-04-14,experiment,Fast and accurate AI-based pre-decoders for surface codes,Demonstrates scalable real-time surface-code decoding at O(1 μs) with LER improvements over standard decoders.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2604.13219v2,2026-04-14,experiment,Fault-Tolerant Error Detection Above Break-Even for Multi-Qubit Gates,Demonstrates fault-tolerant error detection above break-even on trapped-ion hardware; advances real-device QEC validation.,
algorithms,S-qec;S-logical;H-ion,C-ftqc-timeline,T3,2604.19481v1,2026-04-21,resource-estimate,Fault-Tolerant Quantum Computing with Trapped Ions: The Walking Cat Architecture,"LDPC-based trapped-ion FT architecture with 110 logical qubits, 2,514 physicals, Hamiltonian-sim utility in ~1 month.",
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2604.21866v1,2026-04-23,experiment,High-performance cellular automaton decoders for quantum repetition and toric code,Demonstrates scalable real-time QEC decoder with threshold ~7.5% and subthreshold scaling; advances practical error-correction architecture feasibility.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2604.25863v2,2026-04-28,experiment,MCMit: Mid-Circuit Measurement Error Mitigation,Demonstrates measured QEC logical error reduction (1.2–9.4×) via mid-circuit measurement error mitigation on hardware.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2605.04892v1,2026-05-06,experiment,Real-time Surface-Code Error Correction Using an FPGA-based Neural-Network Decoder,Demonstrates real-time surface-code QEC (distance-3) with closed-loop feedback on superconducting hardware; validates hardware-integrated decoder architecture for scalable fault tolerance.,
algorithms,S-qec;S-logical;H-silicon,C-ftqc-timeline,T3,2605.05881v1,2026-05-07,experiment,Surface-Code Thresholds and Qubit Footprints in Shuttling-Based Spin-Qubit Railways,Demonstrates surface-code threshold and footprint scaling on silicon spin qubits with circuit-level noise; achieves Megaquop distance-7 code at p=10^−3 error rate.,
algorithms,S-qec;H-ion,C-ftqc-timeline,T3,2605.08009v1,2026-05-08,experiment,Error Correction of Beamsplitter-Generated Entangled GKP States,First experimental demonstration of entangled GKP qubits with QEC extension; advances trapped-ion bosonic code roadmap.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2605.21276v1,2026-05-20,experiment,Benchmarking a machine-learning differential equations solver on a neutral-atom logical processor,Demonstrates logical-qubit advantage in end-to-end ML application; validates fault-tolerant overhead trade-offs experimentally.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2605.30765v1,2026-05-29,resource-estimate,"Real-Time Quantum Error Correction System Stack: Architecture, Algorithms, and Engineering Practice",Quantifies real-time QEC engineering gaps; benchmarks decoders for surface/qLDPC; identifies system-level bottlenecks beyond algorithm speed.,
algorithms,S-qec;S-logical;H-neutral,C-ftqc-timeline,T3,2606.04079v1,2026-06-02,experiment,Quantum error correction with the toric code,"First scalable toric-code logical-qubit demo on neutral atoms with 90 syndrome cycles, distance-dependent error suppression.",
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2606.06598v1,2026-06-04,experiment,A superconducting surface-code processor with lattice-surgery logical operations,First experimental demonstration of below-threshold surface-code logical operations with multi-cycle error suppression on real hardware.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2606.16199v1,2026-06-15,resource-estimate,Efficient Magic State Factory Via Transversal Non-Clifford Gate,End-to-end magic-state factory simulations at distance d=5 with code switching; resource comparison against cultivation methods.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2606.27358v1,2026-06-25,experiment,Cultivating logical catalysts for fault-tolerant dyadic phase rotations,Demonstrates fault-tolerant logical-qubit phase gates with error-corrected scaling; advances offline magic-state cultivation toward FTQC resource efficiency.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2607.01887v1,2026-07-02,experiment,LUCI on IBM Hardware: Error Suppression with Almost Half Syndrome Density,Demonstrates logical-qubit error suppression on real hardware with reduced syndrome overhead; validates dynamic-code QEC beyond theory.,
algorithms,S-qec;S-logical,C-ftqc-timeline,T3,2607.04227v1,2026-07-05,experiment,Genuine Multipartite Entanglement between Logical Qubits via Cross-Code Lattice Surgery,First experimental demonstration of logical-qubit universal gates via lattice surgery on real hardware; advances fault-tolerant QEC building blocks.,
algorithms,S-qec;S-logical;H-supercon,C-ftqc-timeline,T3,2607.06718v1,2026-07-07,experiment,Quantum error correction of a grid-state qubit with state preparation and measurement errors below $10^{-3}$,"Demonstrates below-threshold QEC performance in grid-state qubits; SPAM errors reduced 100× to sub-10⁻³, enabling practical logical-qubit operation.",
frontier/algorithms,O-advantage;S-bench,C-advantage-survival,T3,2604.20180v1,2026-04-22,classical-sim-defense,Tensor network surrogate models for variational quantum computation,Tensor-network classical simulation successfully benchmarks QAOA on spin-glass; demonstrates parameter-transfer limits and feasibility scaling.,
frontier/algorithms,O-advantage;S-bench,C-advantage-survival,T3,2606.20187v1,2026-06-18,classical-sim-attack,Truncated Wigner dynamics of biclique quantum spin glasses,TWA classical method reproduces quantum spin-glass dynamics and critical exponents; scales to tens of thousands of qubits.,
frontier/algorithms,O-energy,C-energy-advantage,T3,2605.09580v2,2026-05-10,resource-estimate,Estimating The Energy Consumption of Quantum Computing from A Full System Aspect,First full-stack joules-per-answer model for NISQ and FTQC; quantifies energy breakdown by regime.,
frontier/algorithms,H-supercon;O-energy,C-energy-advantage,T3,2605.19854v1,2026-05-19,resource-estimate,Unveiling Energetic Advantage in Superconducting Cat-Qubits Quantum Computation,Provides full-stack energy consumption model and scaling analysis for superconducting cat-qubit systems with error correction; estimates quantum energetic advantage threshold at >26 qubits.,
frontier/algorithms,O-utility-definition;S-bench,C-quantum-utility,T3,2604.25715v1,2026-04-28,experiment,Ground-state energies of Ising models calculated using the samples from a quantum computer that simulates short-time evolution,Demonstrates Ising ground-state calculation at 63 qubits on real hardware; quantifies error scaling and utility boundary.,
frontier/algorithms,O-utility-definition;S-bench,C-quantum-utility,T3,2605.25830v1,2026-05-25,experiment,Utility-scale quantum experiments using dynamic circuits to address collective dissipation in interacting qubits,Demonstrates utility-scale dissipative-dynamics simulation on 86 qubits with validated classical comparison; addresses classical reproducibility dispute.,
