key,lang,word,root_form,claude-sonnet-5,claude-haiku-4-5-20251001,consensus
nw:3982b646-1a0e-4de6-a62f-f35a47bca2cf,id,radiasi,radiatio,correct,correct,correct
nw:39681f11-11f0-49e7-ba53-1152cf441bf6,pt,relação,relatio,correct,correct,correct
nw:54c6a388-4721-40f6-a589-c86762c63db5,pt,série,*ser-,correct,correct,correct
nw:8a79b826-5197-43e5-bfad-3774269f3e1b,fr,logique propositionnelle,λογική,wrong_gloss,correct,
nw:01fcf6ae-44a3-432e-bcdf-3f0ff5ee9781,it,cinematica,cine,wrong_homograph,wrong_homograph,wrong_homograph
nw:cb6b8173-8fe4-46ed-a05d-bcbecb9c25bb,fr,masse volumique,μᾶζα + volume,correct,correct,correct
nw:4850085d-aa5d-47e2-9d90-8690b7a3d64a,pt,função,fungor,correct,correct,correct
nw:8b1b6ff6-60bb-4836-8236-0e8953f63e3b,pt,dificuldade,*dʰeh₁-,correct,correct,correct
nw:b4743bc8-be72-4c1f-a6cf-ab8947836a6b,pt,fotossíntese,síntese,correct,correct,correct
nw:6c6f64f5-522c-4fb0-bc6b-35845dd9cfa5,it,stilo,stilus,correct,correct,correct
nw:1d8682c2-d895-4c4c-b98d-54a484052b05,es,método,μέθοδος,correct,correct,correct
nw:3180524d-9b88-4d48-94de-6a2fa014a4eb,pt,cadeia,cadea,correct,correct,correct
nw:46103e45-3007-4345-9b95-27b6192a0f71,fr,os,*h₃ésth₁,correct,correct,correct
nw:6ce5e5a2-5045-4339-a13f-4599d9ef34c1,pt,consciência,συνείδησις,wrong_homograph,correct,
nw:d49936de-0f38-4e6d-b6c2-e81d93388b44,fr,fluide,fluidus,correct,correct,correct
nw:96417bad-17a8-4440-a57d-81b05021eae4,pt,ponte de hidrogénio,ponte + hydrogène,correct,correct,correct
nw:e0834c3b-b75f-436a-ad0e-c88a7e11c92a,es,incertidumbre,certidumbre,correct,correct,correct
nw:687f3bd2-ba00-4b76-8547-0686f3b231b9,es,astrocito,Astrozyt,correct,correct,correct
nw:3d71f131-eb42-45bf-a253-810acf7c54fb,he,נוֹף,נ־ו־ף,cannot_tell,cannot_tell,cannot_tell
nw:32c4187e-9d61-4c17-8095-f12245b1ea34,ar,سِلْسِلَة,𒉠𒂡𒂡,cannot_tell,correct,
nw:175bb909-45da-47f0-8690-f2a13ae2b329,he,עֲבוֹדָה,ע־ב־ד,correct,correct,correct
nw:4628de35-4276-420e-8afc-d19dbdba7077,ru,цепо́чка,це́пка,cannot_tell,correct,
nw:4d9b62be-ea7a-4652-900b-109db791edf1,cs,prvočíslo,prvý,correct,correct,correct
nw:1dff19e4-9e2d-4ebd-97c6-2dcbf9979e43,pl,transport,transport,correct,correct,correct
nw:d15ac0c3-5657-47af-96b4-eac20de4fd76,cs,vrchol,*vьrxolъ,correct,correct,correct
nw:3ad63742-e0ef-4c99-8c54-e8f1eff25b22,pl,kwantyfikator,quantificare,correct,,
nw:2f08d682-c489-4cdf-9b87-570ef40a6880,pl,półprodukt,produkt,correct,correct,correct
nw:10c523a2-7e78-46c3-8b82-02faafae8080,pl,struktura,*strew-,correct,correct,correct
nw:2a31f632-ef90-41c8-bccd-cba7cc86c482,pl,wszechświat,świat,correct,correct,correct
nw:9f7cb705-111c-4821-832e-0f89a79aaf1f,cs,metoda,μέθοδος,correct,correct,correct
nw:327c6182-f715-4f20-a2b6-31c592a012c7,ru,измери́тельный прибо́р,*měriti + *priborъ,cannot_tell,cannot_tell,cannot_tell
nsm:people|zh|人們,zh,人們,人 + 們,correct,correct,correct
nsm:die|zh|死,zh,死,*sij,correct,correct,correct
nsm:can|zh|會當,zh,會當,會 + 當,wrong_gloss,wrong_gloss,wrong_gloss
nsm:far|sv|fjärran,sv,fjärran,fjarran,correct,correct,correct
nsm:say|de|sagen,de,sagen,*sekʷ-,wrong_homograph,wrong_gloss,
nsm:when_time|ang|hwonne,ang,hwonne,*hwan,correct,correct,correct
nsm:i|non|ek,non,ek,*eǵh₂óm,correct,correct,correct
nsm:bad|de|schlimm,de,schlimm,*slimbaz,correct,wrong_gloss,
nsm:moment|got|𐍃𐍄𐌹𐌺𐍃,got,𐍃𐍄𐌹𐌺𐍃,*stikiz,correct,wrong_gloss,
nsm:something|en|thing,en,thing,thing,correct,correct,correct
nsm:near|ang|nēah,ang,nēah,*h₂neḱ-,correct,correct,correct
nsm:move|sa|चलति,sa,चलति,*kʷel-,correct,correct,correct
nsm:true|fa|صحیح,fa,صحیح,صَحِيح,correct,correct,correct
nsm:big|fa|بُزُرْگ,fa,بُزُرْگ,𐎺𐏀𐎼𐎣,correct,correct,correct
nsm:because|la|quia,la,quia,*kʷih₂,correct,correct,correct
nsm:body|grc|σῶμα,grc,σῶμα,*tewh₂-,correct,correct,correct
nsm:happen|la|accidō,la,accidō,*kadō,correct,correct,correct
nsm:near|la|proximus,la,proximus,*prokʷism̥mos,correct,correct,correct
nsm:i|ta|நான்,ta,நான்,*ñān,correct,correct,correct
nsm:bad|id|jelek,id,jelek,jelèk,cannot_tell,cannot_tell,cannot_tell
nsm:part|tr|kısım,tr,kısım,قَسَمَ,wrong_homograph,correct,
nsm:after|id|setelah,id,setelah,setelah,correct,correct,correct
nsm:can|ta|தெரி,ta,தெரி,*terV-,correct,correct,correct
nsm:there_is|id|ada,id,ada,*ada,wrong_homograph,wrong_gloss,
nsm:kind|tr|tür,tr,tür,*tür,correct,correct,correct
nsm:if|fi|jos,fi,jos,*jos,correct,correct,correct
nsm:maybe|fr|peut-être,fr,peut-être,pouvoir,correct,correct,correct
nsm:kind|fr|genre,fr,genre,genus,correct,correct,correct
nsm:because|pt|porque,pt,porque,porque,correct,correct,correct
nsm:little_few|it|poco,it,poco,*peh₂w-,correct,correct,correct
nsm:big|fr|grand,fr,grand,grandis,correct,correct,correct
nsm:be_someones|pt|meu,pt,meu,*meos,correct,correct,correct
nsm:kind|pt|categoria,pt,categoria,κατηγορία,correct,wrong_gloss,
nsm:below|ar|تَحْتَ,ar,تَحْتَ,ت ح ت,cannot_tell,correct,
nsm:i|he|אֲנִי,he,אֲנִי,*ʔanāku,cannot_tell,correct,
nsm:above|pl|nad,pl,nad,nad,correct,correct,correct
nsm:some|pl|kilka,pl,kilka,*kʷ-,correct,correct,correct
nsm:small|cs|malý,cs,malý,*(s)mel-,wrong_homograph,cannot_tell,
nsm:far|ru|далёкий,ru,далёкий,*dalekъ,correct,correct,correct
nsm:feel|cs|cítit,cs,cítit,*oťutiti,correct,cannot_tell,
