key,table,lang,word,roman,sense,root_lang,root_form,root_gloss,confidence,root_confidence,row
nw:85d660bd-0895-485a-8cbd-37364fe59f42,node_words,fi,konfiguraatio,,configuration,la,figūrō,figure,0.85,,nw|e7d91ddd-14df-4e13-bfb0-9d46cf5e0488|fi|konfiguraatio
nw:541ede83-b0a6-4eb9-8bcc-bd0c691992bd,node_words,id,energi aktivasi,,activation energy (the energy required to initiate a reaction),id,energi,energy: a quantity that denotes the ability to do work and is measured in a unit dimensioned in mass × distance²/time² (ML²/T²) or the equivalent,1,,nw|3e130376-b8cc-4e7c-b121-19c822351b09|id|energi aktivasi
nw:0ed29522-5b06-40d5-a362-71daeb4acf53,node_words,fi,spektri,,spectrum,la,spectrum,"appearance, image",0.5,,nw|aafa73ef-d972-42cb-b0a6-e466ad52871d|fi|spektri
nw:e08449c0-2f5b-4f4b-90fb-ee0d54c1094d,node_words,th,การเลี้ยวเบน,gaan-líao-been,diffraction.,th,การ,work; matter; task; affair.,1,,nw|1dc8a475-3dd9-407c-b961-f1608a15668e|th|การเลี้ยวเบน
nw:427268a7-8eb9-4ed0-8b2f-37063ac4efcf,node_words,tr,gaz,,"gas, matter in an intermediate state between liquid and plasma",grc,χάος,"chasm, void, chaos",0.5,,nw|9656faad-a5df-4896-83b8-5e2c421dcd61|tr|gaz
nw:3982b646-1a0e-4de6-a62f-f35a47bca2cf,node_words,id,radiasi,,"the shooting forth of anything from a point or surface, like diverging rays of light",la,radiatio,"glittering, shining, radiation",0.5,,nw|a564ca93-bde6-4a2e-bb34-c75c206dc1a2|id|radiasi
nw:39681f11-11f0-49e7-ba53-1152cf441bf6,node_words,pt,relação,,"relation, connection, association",la,relatio,"a bringing back, restoring",0.5,,nw|71c4a26d-b2c6-4134-b511-e1ae78448dff|pt|relação
nw:54c6a388-4721-40f6-a589-c86762c63db5,node_words,pt,série,,series (number of things or events that follow on one after the other),ine-pro,*ser-,"to bind, put together",0.5,,nw|d2503a33-ada0-4519-bb87-c08c1acce77e|pt|série
nw:8a79b826-5197-43e5-bfad-3774269f3e1b,node_words,fr,logique propositionnelle,,formal deductive system,grc,λογική,"speech, prose",0.85,,nw|5f1a50b4-35b5-4a7d-a0ec-ad48dc58aa15|fr|logique propositionnelle
nw:01fcf6ae-44a3-432e-bcdf-3f0ff5ee9781,node_words,it,cinematica,,kinematics,it,cine,cinema,0.5,,nw|9ec72b91-9831-4739-94b7-a2fa51681da6|it|cinematica
nw:cb6b8173-8fe4-46ed-a05d-bcbecb9c25bb,node_words,fr,masse volumique,,density,mixed,μᾶζα + volume,"bread + volume (of a book, a written work)",0.85,,nw|2918d2fc-3353-4675-aee5-869bfa87f40a|fr|masse volumique
nw:4850085d-aa5d-47e2-9d90-8690b7a3d64a,node_words,pt,função,,function,la,fungor,"to perform, execute",0.5,,nw|10917582-1174-4d7e-adc7-9614d7cf0222|pt|função
nw:8b1b6ff6-60bb-4836-8236-0e8953f63e3b,node_words,pt,dificuldade,,difficulty (state of being difficult),ine-pro,*dʰeh₁-,"to do, put, place, set",0.7,,nw|12397a7a-245d-4615-9195-d5270664d8e6|pt|dificuldade
nw:b4743bc8-be72-4c1f-a6cf-ab8947836a6b,node_words,pt,fotossíntese,,photosynthesis,pt,síntese,synthesis,1,,nw|ecff5bd7-52dc-4c3d-ad72-f51162d989f9|pt|fotossíntese
nw:6c6f64f5-522c-4fb0-bc6b-35845dd9cfa5,node_words,it,stilo,,style (part of pistil),la,stilus,"a stake, pale, spike",0.7,,nw|b824eb7f-ed84-4a80-91fc-7e3b09770b62|it|stilo
nw:1d8682c2-d895-4c4c-b98d-54a484052b05,node_words,es,método,,method,grc,μέθοδος,"following after, pursuit",0.85,,nw|ec698d86-c59a-4778-8f5d-f1dd05c705c4|es|método
nw:3180524d-9b88-4d48-94de-6a2fa014a4eb,node_words,pt,cadeia,,prison (place of long-term confinement for those convicted of serious crimes),roa-opt,cadea,chain,0.85,,nw|82b964c3-08d4-4cec-b3fc-e2390a11cc3c|pt|cadeia
nw:46103e45-3007-4345-9b95-27b6192a0f71,node_words,fr,os,,bone,ine-pro,*h₃ésth₁,bone,0.5,,nw|1f6d5438-f0d1-4fdd-9947-a3b36888e925|fr|os
nw:6ce5e5a2-5045-4339-a13f-4599d9ef34c1,node_words,pt,consciência,,"conscience, consciousness (moral sense)",grc,συνείδησις,"consciousness, perception of one's own thoughts",1,,nw|878e8e65-fb3e-477b-b48d-81eeaa207461|pt|consciência
nw:d49936de-0f38-4e6d-b6c2-e81d93388b44,node_words,fr,fluide,,fluid,la,fluidus,"liquid, fluid, flowing",0.85,,nw|e00c8f82-0b54-4032-a49e-edb42996a378|fr|fluide
nw:96417bad-17a8-4440-a57d-81b05021eae4,node_words,pt,ponte de hidrogénio,,hydrogen bond,mixed,ponte + hydrogène,bridge + hydrogen,1,,nw|bf2edcec-bcc6-445a-816f-2bbf5d067cb0|pt|ponte de hidrogénio
nw:e0834c3b-b75f-436a-ad0e-c88a7e11c92a,node_words,es,incertidumbre,,uncertainty,es,certidumbre,certainty,0.56,,nw|66ff3f52-5930-42a5-be12-fd9fedd553a5|es|incertidumbre
nw:687f3bd2-ba00-4b76-8547-0686f3b231b9,node_words,es,astrocito,,astrocyte,de,Astrozyt,astrocyte,1,,nw|cdcf2f1c-0aa8-4f42-abf8-04db240b85d2|es|astrocito
nw:3d71f131-eb42-45bf-a253-810acf7c54fb,node_words,he,נוֹף,nof,"view, landscape, scenery",he,נ־ו־ף,,0.5,,nw|a3256bdd-8cb0-46cc-a824-685bc4660375|he|נוֹף
nw:32c4187e-9d61-4c17-8095-f12245b1ea34,node_words,ar,سِلْسِلَة,silsila,iron chain,akk,𒉠𒂡𒂡,chains,0.76,,nw|2aaf5250-eeae-4757-ae24-66fd5e706f84|ar|سِلْسِلَة
nw:175bb909-45da-47f0-8690-f2a13ae2b329,node_words,he,עֲבוֹדָה,avodá,"worship, service",he,ע־ב־ד,Forms words pertaining to work or servitude.,0.85,,nw|8dec0be0-dd99-4a4e-92a2-6d79e45b7884|he|עֲבוֹדָה
nw:4628de35-4276-420e-8afc-d19dbdba7077,node_words,ru,цепо́чка,cepóčka,"number of atoms in a series, which combine to form a molecule",ru,це́пка,"small chain, chainlet",0.95,,nw|4b7ee92c-2517-4cc8-b8ee-c07ae3930011|ru|цепо́чка
nw:4d9b62be-ea7a-4652-900b-109db791edf1,node_words,cs,prvočíslo,,prime number,cs,prvý,first,0.95,,nw|d24c4bd6-5e07-4103-9b47-e7f5ac21e049|cs|prvočíslo
nw:1dff19e4-9e2d-4ebd-97c6-2dcbf9979e43,node_words,pl,transport,,transport (act of transporting),fr,transport,transport,0.5,,nw|7495298b-ad0b-4f26-ac26-e639e6647835|pl|transport
nw:d15ac0c3-5657-47af-96b4-eac20de4fd76,node_words,cs,vrchol,,"peak, summit, top",sla-pro,*vьrxolъ,,0.5,,nw|6e3abeeb-f251-4dc4-a3ba-ec4cc707cd38|cs|vrchol
nw:3ad63742-e0ef-4c99-8c54-e8f1eff25b22,node_words,pl,kwantyfikator,,"quantifier (operator, such as the universal quantifier (written as ∀) or the existential quantifier (∃), used in predicate calculus to indicate the degree that predicate is true for a specified set)",la-med,quantificare,,0.95,,nw|f8ddffda-c55b-4f66-8159-b0d6202cdeb7|pl|kwantyfikator
nw:2f08d682-c489-4cdf-9b87-570ef40a6880,node_words,pl,półprodukt,,"intermediate good, producer good",pl,produkt,"product (something that has been created by some process, especially industrial production)",0.7,,nw|1b11b415-8248-4426-aca8-45341ca65999|pl|półprodukt
nw:10c523a2-7e78-46c3-8b82-02faafae8080,node_words,pl,struktura,,structure (cohesive whole built up of distinct parts),ine-pro,*strew-,"to strew, to spread out",0.7,,nw|5420e342-07ce-42b1-86a3-a544456e98ce|pl|struktura
nw:2a31f632-ef90-41c8-bccd-cba7cc86c482,node_words,pl,wszechświat,,"universe, cosmos",pl,świat,world,0.85,,nw|5d88e585-4395-46a6-a502-bdcc65bd845c|pl|wszechświat
nw:9f7cb705-111c-4821-832e-0f89a79aaf1f,node_words,cs,metoda,,method (process by which a task is completed),grc,μέθοδος,"pursuit of knowledge, investigation, mode of prosecuting such inquiry, system",0.85,,nw|ec698d86-c59a-4778-8f5d-f1dd05c705c4|cs|metoda
nw:327c6182-f715-4f20-a2b6-31c592a012c7,node_words,ru,измери́тельный прибо́р,izmerítelʹnyj pribór,"any instrument for ascertaining or regulating the level, state, dimensions or forms of things; as, a rain gauge; a steam gauge",sla-pro,*měriti + *priborъ,? + ?,0.5,,nw|618b1993-c44b-428c-92fc-69deacc72f74|ru|измери́тельный прибо́р
nsm:people|zh|人們,nsm_exponents,zh,人們,rénmen,a body of human beings; a group of two or more persons,zh,人 + 們,"man + Suffix indicating plural for pronouns, some animated nouns a",0.9,0.9,nsm|people|zh|人們
nsm:die|zh|死,nsm_exponents,zh,死,sǐ,to stop living,sit-pro,*sij,,0.9,0.9,nsm|die|zh|死
nsm:can|zh|會當,nsm_exponents,zh,會當,ē-tàng,to be able to; to know how to,zh,會 + 當,union + to face,0.85,0.85,nsm|can|zh|會當
nsm:far|sv|fjärran,nsm_exponents,sv,fjärran,,remote in space,non,fjarran,,0.9,0.9,nsm|far|sv|fjärran
nsm:say|de|sagen,nsm_exponents,de,sagen,,"to say, to tell",ine-pro,*sekʷ-,to follow,0.9,0.9,nsm|say|de|sagen
nsm:when_time|ang|hwonne,nsm_exponents,ang,hwonne,,"at what time, as a direct question",gem-pro,*hwan,"at what time, when",0.9,0.9,nsm|when_time|ang|hwonne
nsm:i|non|ek,nsm_exponents,non,ek,,personal pronoun,ine-pro,*eǵh₂óm,I,0.9,0.9,nsm|i|non|ek
nsm:bad|de|schlimm,nsm_exponents,de,schlimm,,unfavorable; negative,gem-pro,*slimbaz,"oblique, crooked",0.9,0.9,nsm|bad|de|schlimm
nsm:moment|got|𐍃𐍄𐌹𐌺𐍃,nsm_exponents,got,𐍃𐍄𐌹𐌺𐍃,stiks,very brief period of time,gem-pro,*stikiz,"prick, piercing, stitch",0.9,0.9,nsm|moment|got|𐍃𐍄𐌹𐌺𐍃
nsm:something|en|thing,nsm_exponents,en,thing,,unspecified object,enm,thing,,0.9,0.9,nsm|something|en|thing
nsm:near|ang|nēah,nsm_exponents,ang,nēah,,physically close,ine-pro,*h₂neḱ-,to reach,0.9,0.9,nsm|near|ang|nēah
nsm:move|sa|चलति,nsm_exponents,sa,चलति,calati,(intransitive) to change place or posture; to go,ine-pro,*kʷel-,to move; to turn (around),0.9,0.9,nsm|move|sa|चलति
nsm:true|fa|صحیح,nsm_exponents,fa,صحیح,sahih,concurring with a given set of facts,ar,صَحِيح,true,0.9,0.9,nsm|true|fa|صحیح
nsm:big|fa|بُزُرْگ,nsm_exponents,fa,بُزُرْگ,buzurg,of a great size — see also large,peo,𐎺𐏀𐎼𐎣,great,0.9,0.9,nsm|big|fa|بُزُرْگ
nsm:because|la|quia,nsm_exponents,la,quia,,by or for the cause that; on this account that; for the reason that,ine-pro,*kʷih₂,,0.9,0.9,nsm|because|la|quia
nsm:body|grc|σῶμα,nsm_exponents,grc,σῶμα,sôma,physical structure of a human or animal,ine-pro,*tewh₂-,to swell,0.9,0.9,nsm|body|grc|σῶμα
nsm:happen|la|accidō,nsm_exponents,la,accidō,,to occur,itc-pro,*kadō,fall,0.85,0.85,nsm|happen|la|accidō
nsm:near|la|proximus,nsm_exponents,la,proximus,,physically close,ine-pro,*prokʷism̥mos,,0.9,0.9,nsm|near|la|proximus
nsm:i|ta|நான்,nsm_exponents,ta,நான்,nāṉ,personal pronoun,dra-sou-pro,*ñān,,0.85,0.85,nsm|i|ta|நான்
nsm:bad|id|jelek,nsm_exponents,id,jelek,,unfavorable; negative,bew,jelèk,,0.9,0.9,nsm|bad|id|jelek
nsm:part|tr|kısım,nsm_exponents,tr,kısım,,fraction of a whole,ar,قَسَمَ,to divide,0.9,0.9,nsm|part|tr|kısım
nsm:after|id|setelah,nsm_exponents,id,setelah,,subsequently; following in time; later than,ms-cla,setelah,after,0.9,0.9,nsm|after|id|setelah
nsm:can|ta|தெரி,nsm_exponents,ta,தெரி,teri,to be able to; to know how to,dra-pro,*terV-,,0.9,0.9,nsm|can|ta|தெரி
nsm:there_is|id|ada,nsm_exponents,id,ada,,to exist,poz-mcm-pro,*ada,danger,0.85,0.85,nsm|there_is|id|ada
nsm:kind|tr|tür,nsm_exponents,tr,tür,,"type, race, category",trk-pro,*tür,"sort, kind, shape",0.9,0.9,nsm|kind|tr|tür
nsm:if|fi|jos,nsm_exponents,fi,jos,,supposing that,urj-fin-pro,*jos,,0.9,0.9,nsm|if|fi|jos
nsm:maybe|fr|peut-être,nsm_exponents,fr,peut-être,,indicating a lack of certainty,fr,pouvoir,"(it) can”, “(it) may",0.9,0.9,nsm|maybe|fr|peut-être
nsm:kind|fr|genre,nsm_exponents,fr,genre,,"type, race, category",la,genus,"birth, origin, lineage, descent",0.9,0.9,nsm|kind|fr|genre
nsm:because|pt|porque,nsm_exponents,pt,porque,,by or for the cause that; on this account that; for the reason that,roa-opt,porque,because,0.9,0.9,nsm|because|pt|porque
nsm:little_few|it|poco,nsm_exponents,it,poco,,"indefinite, usually small number",ine-pro,*peh₂w-,"small, little, few",0.9,0.9,nsm|little_few|it|poco
nsm:big|fr|grand,nsm_exponents,fr,grand,,of a great size — see also large,la,grandis,"full-grown, grown up",0.9,0.9,nsm|big|fr|grand
nsm:be_someones|pt|meu,nsm_exponents,pt,meu,,that which belongs to me,itc-pro,*meos,,0.6,0.6,nsm|be_someones|pt|meu
nsm:kind|pt|categoria,nsm_exponents,pt,categoria,,"type, race, category",grc,κατηγορία,"charge, accusation",0.9,0.9,nsm|kind|pt|categoria
nsm:below|ar|تَحْتَ,nsm_exponents,ar,تَحْتَ,taḥta,lower in spatial position than,ar,ت ح ت,,0.85,0.85,nsm|below|ar|تَحْتَ
nsm:i|he|אֲנִי,nsm_exponents,he,אֲנִי,aní,personal pronoun,afa-pro,*ʔanāku,I,0.9,0.9,nsm|i|he|אֲנִי
nsm:above|pl|nad,nsm_exponents,pl,nad,,in or to a higher place,zlw-opl,nad,above,0.9,0.9,nsm|above|pl|nad
nsm:some|pl|kilka,nsm_exponents,pl,kilka,,unspecified quantity or number of,ine-pro,*kʷ-,interrogative root,0.85,0.85,nsm|some|pl|kilka
nsm:small|cs|malý,nsm_exponents,cs,malý,,not large,ine-pro,*(s)mel-,"to beat, crush, grind",0.9,0.9,nsm|small|cs|malý
nsm:far|ru|далёкий,nsm_exponents,ru,далёкий,daljókij,remote in space,sla-pro,*dalekъ,,0.9,0.9,nsm|far|ru|далёкий
nsm:feel|cs|cítit,nsm_exponents,cs,cítit,,transitive: to experience an emotion or other mental state about,sla-pro,*oťutiti,,0.9,0.9,nsm|feel|cs|cítit
