slug,provenance_class,generator,prominence,chapter
42-metabolic-syndrome,A-original,build_wave3.py,1,22-disease-cardiometabolic-renal.md
43-grip-mortality,A-original,build_wave4.py,1,02-training.md
44-sleep-hypnogram,A-original,build_wave4.py,1,05-recovery-sleep-stress.md
45-cortisol-rhythm,A-original,build_wave4.py,1,13-endocrine-hormones.md
46-action-potential,A-original,build_wave4.py,1,14-nervous-system.md
47-vaccines-longevity,A-original,build_wave4.py,1,10-medical-pharmacology.md
48-hrt-timing,A-original,build_wave4.py,1,42-reproductive-sexual-health.md
49-imaging-matrix,A-original,build_wave4.py,1,40-imaging-radiology.md
50-ckd-heatmap,A-original,build_wave4.py,1,22-disease-cardiometabolic-renal.md
51-pain-biopsychosocial,A-original,build_wave4.py,1,21-pain-injury-rehab.md
52-innate-adaptive,A-original,build_wave4.py,1,15-immune-system.md
53-cancer-screening,A-original,build_wave4.py,1,07-clinical-prevention.md
54-gut-brain-axis,A-original,build_wave4.py,1,14-nervous-system.md
55-omega3-index,A-original,build_wave5.py,1,03-nutrition-supplements.md
56-visceral-fat,A-original,build_wave5.py,1,22-disease-cardiometabolic-renal.md
57-mediterranean,A-original,build_wave5.py,1,03-nutrition-supplements.md
58-hearing-dementia,A-original,build_wave5.py,1,08-brain-cognitive.md
59-metabolic-flexibility,A-original,build_wave5.py,1,22-disease-cardiometabolic-renal.md
60-four-capacities,A-original,build_wave5.py,1,02-training.md
61-endocrine-axes,A-original,build_wave5.py,1,13-endocrine-hormones.md
62-longevity-plate,A-original,build_wave5.py,1,03-nutrition-supplements.md
63-sleep-hygiene,A-original,build_wave5.py,1,05-recovery-sleep-stress.md
64-geroprotector-matrix,A-original,build_wave5.py,1,10-medical-pharmacology.md
65-hpa-axis,A-original,build_wave5.py,1,13-endocrine-hormones.md
66-synapse,A-original,build_wave5.py,1,14-nervous-system.md
67-bp-sprint,A-original,build_wave6.py,1,07-clinical-prevention.md
68-hba1c-risk,A-original,build_wave6.py,1,22-disease-cardiometabolic-renal.md
69-lpa-risk,A-original,build_wave6.py,1,22-disease-cardiometabolic-renal.md
70-cac-risk,A-original,build_wave6.py,1,07-clinical-prevention.md
71-zone2-hiit,A-original,build_wave6.py,1,02-training.md
72-bone-tscore,A-original,build_wave6.py,1,11-body-systems.md
73-immunosenescence,A-original,build_wave6.py,1,15-immune-system.md
74-screening-by-age,A-original,build_wave6.py,1,07-clinical-prevention.md
75-blood-panel,A-original,build_wave6.py,1,41-pathology-lab-medicine.md
76-cancer-treatment,A-original,build_wave6.py,1,25-oncology.md
77-vaccine-schedule,A-original,build_wave6.py,1,26-infectious-disease.md
78-insulin-resistance,A-original,build_wave6.py,1,22-disease-cardiometabolic-renal.md
79-inflammation-paths,A-original,build_wave6.py,1,15-immune-system.md
80-prevention-by-decade,A-original,build_wave6.py,1,07-clinical-prevention.md
81-lifespan-over-time,A-original,build_wave7.py,1,33-public-health-systems.md
82-bmi-jcurve,A-original,build_wave7.py,1,22-disease-cardiometabolic-renal.md
83-testosterone-age,A-original,build_wave7.py,1,13-endocrine-hormones.md
84-cancer-incidence,A-original,build_wave7.py,1,25-oncology.md
85-calerie,A-original,build_wave7.py,1,36-fasting-cleanses-protocols.md
86-vo2max-age,A-original,build_wave7.py,1,19-life-stages.md
87-hormesis-curve,A-original,build_wave7.py,1,01-foundations.md
88-dementia-checklist,A-original,build_wave7.py,1,08-brain-cognitive.md
89-fasting-protocols,A-original,build_wave7.py,1,36-fasting-cleanses-protocols.md
90-recovery-toolkit,A-original,build_wave7.py,1,05-recovery-sleep-stress.md
91-minimal-equipment,A-original,build_wave7.py,1,02-training.md
92-autonomic-ns,A-original,build_wave7.py,1,14-nervous-system.md
93-fight-or-flight,A-original,build_wave7.py,1,14-nervous-system.md
94-menopause-timeline,A-original,build_wave7.py,1,42-reproductive-sexual-health.md
95-social-connection,A-original,build_wave8.py,1,05-recovery-sleep-stress.md
96-smoking-quit,A-original,build_wave8.py,1,09-exposures-environment.md
97-leading-causes,A-original,build_wave8.py,1,33-public-health-systems.md
98-epigenetic-clock,A-original,build_wave8.py,1,18-genetics-anatomy.md
99-sarcopenia,A-original,build_wave8.py,1,19-life-stages.md
A01-neuron,A-original,build_body_anat.py,1,14-nervous-system.md
A02-nephron,A-original,build_body_anat.py,1,17-organ-systems-atlas.md
A03-end-replication,A-original,build_body_anat.py,1,16-telomeres-cellular-aging.md
A04-telomere-cap,A-original,build_body_anat.py,1,16-telomeres-cellular-aging.md
A05-cns-pns,A-original,build_body_anat.py,1,14-nervous-system.md
A06-nociception,A-original,build_body_anat.py,1,21-pain-injury-rehab.md
A07-oral-systemic,A-original,build_body_anat.py,1,11-body-systems.md
A08-osteosarcopenia,A-original,build_body_anat.py,1,11-body-systems.md
A09-hpg,A-original,build_body_anat.py,1,13-endocrine-hormones.md
A10-ed-cardiac,A-original,build_body_anat.py,1,42-reproductive-sexual-health.md
A11-senescence-triggers,A-original,build_body_anat.py,1,16-telomeres-cellular-aging.md
A12-telomere-clock,A-original,build_body_anat.py,1,16-telomeres-cellular-aging.md
B01-hormone-age,A-original,build_body_charts.py,1,13-endocrine-hormones.md
B02-igf1-u-curve,A-original,build_body_charts.py,1,13-endocrine-hormones.md
B03-apoe-gene-dose,A-original,build_body_charts.py,1,18-genetics-anatomy.md
B04-fev1-fletcher-peto,A-original,build_body_charts.py,1,17-organ-systems-atlas.md
B05-egfr-decline,A-original,build_body_charts.py,1,17-organ-systems-atlas.md
B06-ovarian-reserve,A-original,build_body_charts.py,1,42-reproductive-sexual-health.md
B07-ivf-by-age,A-original,build_body_charts.py,1,42-reproductive-sexual-health.md
B08-contraception,A-original,build_body_charts.py,1,42-reproductive-sexual-health.md
B09-menstrual-cycle,A-original,build_body_charts.py,1,42-reproductive-sexual-health.md
B10-common-rare-variants,A-original,build_body_charts.py,1,18-genetics-anatomy.md
B11-bone-load,A-original,build_body_charts.py,1,11-body-systems.md
B12-hip-fracture-mortality,A-original,build_body_charts.py,1,11-body-systems.md
B13-noise-dose,A-original,build_body_charts.py,1,11-body-systems.md
B14-fiber-mortality,A-original,build_body_charts.py,1,03-nutrition-supplements.md
BS1-levels-of-organization,A-original,build_body_schematic.py,1,18-genetics-anatomy.md
BS2-vo2max-oxygen-chain,A-original,build_body_schematic.py,1,18-genetics-anatomy.md
BS3-food-to-atp-chain,A-original,build_body_schematic.py,1,18-genetics-anatomy.md
BS4-endocrine-axis,A-original,build_body_schematic.py,1,13-endocrine-hormones.md
BS5-inflammation-acute-chronic,A-original,build_body_schematic.py,1,15-immune-system.md
BS6-masld-progression,A-original,build_body_schematic.py,1,23-disease-respiratory-gi.md
BS7-iron-two-sided,A-original,build_body_schematic.py,1,17-organ-systems-atlas.md
BS8-inflammaging-hub,A-original,build_body_schematic.py,1,15-immune-system.md
BX1-actionable-variants,A-original,build_body_matrix.py,1,18-genetics-anatomy.md
BX2-neurotransmitters,A-original,build_body_matrix.py,1,14-nervous-system.md
BX3-immune-ladder,A-original,build_body_matrix.py,1,15-immune-system.md
BX4-telomere-grading,A-original,build_body_matrix.py,1,16-telomeres-cellular-aging.md
BX5-skincare-hierarchy,A-original,build_body_matrix.py,1,11-body-systems.md
BX6-sti-matrix,A-original,build_body_matrix.py,1,42-reproductive-sexual-health.md
BX7-gynecologic,A-original,build_body_matrix.py,1,42-reproductive-sexual-health.md
BX8-innate-components,A-original,build_body_matrix.py,1,15-immune-system.md
D01-direct-remission,A-original,build_disease_charts.py,1,22-disease-cardiometabolic-renal.md
D02-hf-four-pillars,A-original,build_disease_charts.py,1,22-disease-cardiometabolic-renal.md
D03-cancer-survival,A-original,build_disease_charts.py,1,25-oncology.md
D04-stroke-nnt,A-original,build_disease_charts.py,1,24-disease-neuro-rheum.md
D05-amr-burden,A-original,build_disease_charts.py,1,26-infectious-disease.md
D06-herd-immunity,A-original,build_disease_charts.py,1,26-infectious-disease.md
D07-antidepressant-severity,A-original,build_disease_charts.py,1,20-mental-health-psychiatry.md
D08-moud-mortality,A-original,build_disease_charts.py,1,35-addiction-substance-use.md
D09-addictiveness-lethality,A-original,build_disease_charts.py,1,35-addiction-substance-use.md
D10-smoking-cessation,A-original,build_disease_charts.py,1,35-addiction-substance-use.md
D11-bp-lifestyle,A-original,build_disease_charts.py,1,07-clinical-prevention.md
D12-hepc-cure,A-original,build_disease_charts.py,1,23-disease-respiratory-gi.md
D13-finger,A-original,build_disease_charts.py,1,08-brain-cognitive.md
D14-lecanemab,A-original,build_disease_charts.py,1,08-brain-cognitive.md
D15-ms-dmt,A-original,build_disease_charts2.py,1,24-disease-neuro-rheum.md
D16-migraine-cgrp,A-original,build_disease_charts2.py,1,24-disease-neuro-rheum.md
D17-neuropathy-nnt,A-original,build_disease_charts2.py,1,24-disease-neuro-rheum.md
D18-antipsychotics,A-original,build_disease_charts2.py,1,20-mental-health-psychiatry.md
D19-anorexia-smr,A-original,build_disease_charts2.py,1,20-mental-health-psychiatry.md
D20-mdma-ptsd,A-original,build_disease_charts2.py,1,20-mental-health-psychiatry.md
D21-lithium-suicide,A-original,build_disease_charts2.py,1,20-mental-health-psychiatry.md
D22-brca-risk,A-original,build_disease_charts2.py,1,25-oncology.md
D23-oncogene-frequency,A-original,build_disease_charts2.py,1,25-oncology.md
D24-checkmate-melanoma,A-original,build_disease_charts2.py,1,25-oncology.md
D25-achieve-hearing,A-original,build_disease_charts2.py,1,08-brain-cognitive.md
D26-shingles-dementia,A-original,build_disease_charts2.py,1,08-brain-cognitive.md
DS1-t2d-ladder,A-original,build_disease_schematic.py,1,22-disease-cardiometabolic-renal.md
DS10-parkinsons-prodrome,A-original,build_disease_schematic.py,1,24-disease-neuro-rheum.md
DS11-vaccine-timeline,A-original,build_disease_schematic.py,1,26-infectious-disease.md
DS12-one-machine,A-original,build_disease_schematic.py,1,22-disease-cardiometabolic-renal.md
DS2-hf-ef-spectrum,A-original,build_disease_schematic.py,1,22-disease-cardiometabolic-renal.md
DS3-crc-sequence,A-original,build_disease_schematic.py,1,25-oncology.md
DS4-gout,A-original,build_disease_schematic.py,1,24-disease-neuro-rheum.md
DS5-ra-target,A-original,build_disease_schematic.py,1,24-disease-neuro-rheum.md
DS6-low-fodmap,A-original,build_disease_schematic.py,1,23-disease-respiratory-gi.md
DS7-asthma,A-original,build_disease_schematic.py,1,23-disease-respiratory-gi.md
DS8-osa,A-original,build_disease_schematic.py,1,23-disease-respiratory-gi.md
DS9-stroke-windows,A-original,build_disease_schematic.py,1,24-disease-neuro-rheum.md
DX1-psychiatric,A-original,build_disease_matrix.py,1,20-mental-health-psychiatry.md
DX2-mat-moud,A-original,build_disease_matrix.py,1,35-addiction-substance-use.md
DX3-pathogen-classes,A-original,build_disease_matrix.py,1,26-infectious-disease.md
DX4-cancer-screening,A-original,build_disease_matrix.py,1,07-clinical-prevention.md
DX5-chronic-viral,A-original,build_disease_matrix.py,1,26-infectious-disease.md
E1-choking,A-original,build_emergency.py,1,34-emergency-acute.md
E2-stop-the-bleed,A-original,build_emergency.py,1,34-emergency-acute.md
E3-naloxone,A-original,build_emergency.py,1,34-emergency-acute.md
E4-sepsis,A-original,build_emergency.py,1,34-emergency-acute.md
E5-burns,A-original,build_emergency.py,1,34-emergency-acute.md
E6-seizure,A-original,build_emergency.py,1,34-emergency-acute.md
E7-heat-stroke,A-original,build_emergency.py,1,34-emergency-acute.md
F01-week-calendar,A-original,build_final_svg.py,1,02-training.md
F02-rpe-rir,A-original,build_final_svg.py,1,02-training.md
F03-dietary-pattern,A-original,build_final_svg.py,1,03-nutrition-supplements.md
F04-fasting-exclusions,A-original,build_final_svg.py,1,36-fasting-cleanses-protocols.md
F05-refeeding,A-original,build_final_svg.py,1,36-fasting-cleanses-protocols.md
F06-debunks,A-original,build_final_svg.py,1,29-behavior-change.md
F07-if-then,A-original,build_final_svg.py,1,29-behavior-change.md
F08-head-trauma,A-original,build_final_svg.py,1,45-sports-play.md
F09-deprescribing,A-original,build_final_svg.py,1,28-pharmacology-full.md
F10-placebo-nocebo,A-original,build_final_svg.py,1,28-pharmacology-full.md
G01-polarized,A-original,build_final_charts.py,1,02-training.md
G02-leucine,A-original,build_final_charts.py,1,03-nutrition-supplements.md
G03-cost-per-ly,A-original,build_final_charts.py,1,33-public-health-systems.md
G04-statin-prevention,A-original,build_final_charts.py,1,10-medical-pharmacology.md
G05-rose,A-original,build_final_charts.py,1,33-public-health-systems.md
G06-le-doubling,A-original,build_final_charts.py,1,33-public-health-systems.md
G07-sport-radar,A-original,build_final_charts.py,1,45-sports-play.md
G08-healthspan-gap,A-original,build_final_charts.py,1,19-life-stages.md
L01-running-oa,A-original,build_life_charts.py,1,44-exercise-modalities.md
L02-sport-hr,A-original,build_life_charts.py,1,45-sports-play.md
L03-taichi-falls,A-original,build_life_charts.py,1,44-exercise-modalities.md
L04-vital-nulls,A-original,build_life_charts.py,1,03-nutrition-supplements.md
L05-protein-age,A-original,build_life_charts.py,1,03-nutrition-supplements.md
L06-tre-cr,A-original,build_life_charts.py,1,36-fasting-cleanses-protocols.md
L07-psychosocial,A-original,build_life_charts.py,1,05-recovery-sleep-stress.md
L08-intention-behavior,A-original,build_life_charts.py,1,29-behavior-change.md
L09-habit-formation,A-original,build_life_charts.py,1,29-behavior-change.md
L10-capacity-arc,A-original,build_life_charts.py,1,19-life-stages.md
L11-fertility-decline,A-original,build_life_charts.py,1,19-life-stages.md
L12-compression-morbidity,A-original,build_life_charts.py,1,19-life-stages.md
L13-exposures,A-original,build_life_charts.py,1,09-exposures-environment.md
L14-determinants,A-original,build_life_charts.py,1,33-public-health-systems.md
L15-lifespan-doubled,A-original,build_life_charts.py,1,33-public-health-systems.md
L16-us-vs-peers,A-original,build_life_charts.py,1,33-public-health-systems.md
L17-epi-transition,A-original,build_life_charts.py,1,33-public-health-systems.md
L18-cold-heat,A-original,build_life_charts.py,1,09-exposures-environment.md
M01-push-up,A-original,build_movements.py,1,02-training.md
M02-overhead-press,A-original,build_movements.py,1,02-training.md
M03-pull-up,A-original,build_movements.py,1,02-training.md
M04-glute-bridge,A-original,build_movements.py,1,02-training.md
M05-side-plank,A-original,build_movements.py,1,02-training.md
M06-kettlebell-swing,A-original,build_movements.py,1,02-training.md
M07-bent-over-row,A-original,build_movements2.py,1,02-training.md
M08-suitcase-carry,A-original,build_movements2.py,1,02-training.md
M09-calf-raise,A-original,build_movements2.py,1,02-training.md
M10-wall-sit,A-original,build_movements2.py,1,02-training.md
M11-bird-dog,A-original,build_movements2.py,1,02-training.md
M12-dip,A-original,build_movements3.py,1,02-training.md
M13-dead-hang,A-original,build_movements3.py,1,02-training.md
M14-jump-rope,A-original,build_movements3.py,1,02-training.md
M15-hip-flexor-stretch,A-original,build_movements3.py,1,02-training.md
M16-deep-squat-hold,A-original,build_movements3.py,1,02-training.md
M17-deadlift,A-original,build_movements4.py,1,02-training.md
M18-goblet-squat,A-original,build_movements4.py,1,02-training.md
M19-bench-press,A-original,build_movements4.py,1,02-training.md
M20-farmer-carry,A-original,build_movements4.py,1,02-training.md
M21-single-leg-rdl,A-original,build_movements4.py,1,02-training.md
M22-inverted-row,A-original,build_movements5.py,1,02-training.md
M23-face-pull,A-original,build_movements5.py,1,02-training.md
M24-cat-cow,A-original,build_movements5.py,1,02-training.md
M25-thoracic-rotation,A-original,build_movements5.py,1,02-training.md
M26-running-form,A-original,build_movements5.py,1,02-training.md
M27-box-jump,A-original,build_movements5.py,1,02-training.md
M28-bulgarian-split-squat,A-original,build_movements6.py,1,02-training.md
M29-pallof-press,A-original,build_movements6.py,1,02-training.md
M30-rowing-erg,A-original,build_movements6.py,1,02-training.md
M31-hollow-hold,A-original,build_movements6.py,1,02-training.md
M32-dead-bug,A-original,build_movements6.py,1,02-training.md
M33-cable-row,A-original,build_movements6.py,1,02-training.md
N01-supplements,A-original,build_life_misc.py,1,03-nutrition-supplements.md
N02-fasting-protocols,A-original,build_life_misc.py,1,36-fasting-cleanses-protocols.md
N03-toxin-tiering,A-original,build_life_misc.py,1,09-exposures-environment.md
N04-recovery-levers,A-original,build_life_misc.py,1,05-recovery-sleep-stress.md
N05-health-pyramid,A-original,build_life_misc.py,1,33-public-health-systems.md
N06-frailty-pentagon,A-original,build_life_misc.py,1,19-life-stages.md
N07-circadian-dial,A-original,build_life_misc.py,1,05-recovery-sleep-stress.md
N08-com-b,A-original,build_life_misc.py,1,29-behavior-change.md
N09-sun-ledger,A-original,build_life_misc.py,1,09-exposures-environment.md
N10-machines-free,A-original,build_life_misc.py,1,44-exercise-modalities.md
N11-cold-dose,A-original,build_life_misc.py,1,05-recovery-sleep-stress.md
N12-lifespan-timeline,A-original,build_life_misc.py,1,19-life-stages.md
P01-ppv-prevalence,A-original,build_practice_charts.py,1,41-pathology-lab-medicine.md
P02-reference-range,A-original,build_practice_charts.py,1,41-pathology-lab-medicine.md
P03-roc-curve,A-original,build_practice_charts.py,1,41-pathology-lab-medicine.md
P04-dose-therapeutic-index,A-original,build_practice_charts.py,1,28-pharmacology-full.md
P05-half-life,A-original,build_practice_charts.py,1,28-pharmacology-full.md
P06-radiation-dose,A-original,build_practice_charts.py,1,40-imaging-radiology.md
P07-spine-mri,A-original,build_practice_charts.py,1,21-pain-injury-rehab.md
P08-amd-antivegf,A-original,build_practice_charts.py,1,27-derm-dental-ent-eye.md
P09-all-cure,A-original,build_practice_charts.py,1,43-developmental-congenital-pediatric.md
P10-myopia-outdoor,A-original,build_practice_charts.py,1,27-derm-dental-ent-eye.md
P11-glaucoma,A-original,build_practice_charts.py,1,27-derm-dental-ent-eye.md
P12-fluoride,A-original,build_practice_charts.py,1,27-derm-dental-ent-eye.md
P13-ct-burden,A-original,build_practice_charts.py,1,40-imaging-radiology.md
PS1-bayes-ppv,A-original,build_practice_schematic.py,1,41-pathology-lab-medicine.md
PS10-cancer-paradox,A-original,build_practice_schematic.py,1,16-telomeres-cellular-aging.md
PS11-imaging-physics,A-original,build_practice_schematic.py,1,40-imaging-radiology.md
PS12-fagan,A-original,build_practice_schematic.py,1,41-pathology-lab-medicine.md
PS2-confusion-2x2,A-original,build_practice_schematic.py,1,41-pathology-lab-medicine.md
PS3-adme,A-original,build_practice_schematic.py,1,28-pharmacology-full.md
PS4-agonist-spectrum,A-original,build_practice_schematic.py,1,28-pharmacology-full.md
PS5-peace-love,A-original,build_practice_schematic.py,1,21-pain-injury-rehab.md
PS6-sids,A-original,build_practice_schematic.py,1,43-developmental-congenital-pediatric.md
PS7-milestones,A-original,build_practice_schematic.py,1,43-developmental-congenital-pediatric.md
PS8-abcde,A-original,build_practice_schematic.py,1,27-derm-dental-ent-eye.md
PS9-boost-regulate,A-original,build_practice_schematic.py,1,15-immune-system.md
PX1-cyp450,A-original,build_practice_matrix.py,1,28-pharmacology-full.md
PX2-pharmacogenomics,A-original,build_practice_matrix.py,1,28-pharmacology-full.md
PX3-lab-categories,A-original,build_practice_matrix.py,1,41-pathology-lab-medicine.md
PX4-trisomies,A-original,build_practice_matrix.py,1,43-developmental-congenital-pediatric.md
PX5-skin-cancer,A-original,build_practice_matrix.py,1,27-derm-dental-ent-eye.md
PX6-pain-multimodal,A-original,build_practice_matrix.py,1,21-pain-injury-rehab.md
Q01-aspree,A-original,build_practice_charts2.py,1,10-medical-pharmacology.md
Q02-sham-surgery,A-original,build_practice_charts2.py,1,38-surgery-perioperative.md
Q03-bariatric,A-original,build_practice_charts2.py,1,38-surgery-perioperative.md
Q04-anesthesia-mortality,A-original,build_practice_charts2.py,1,39-anesthesia-critical-care.md
Q05-less-is-more,A-original,build_practice_charts2.py,1,39-anesthesia-critical-care.md
Q06-gene-prices,A-original,build_practice_charts2.py,1,31-regenerative-frontier.md
Q07-prp,A-original,build_practice_charts2.py,1,31-regenerative-frontier.md
Q08-alt-conventional,A-original,build_practice_charts2.py,1,30-complementary-medicine.md
Q09-acupuncture,A-original,build_practice_charts2.py,1,30-complementary-medicine.md
Q10-ayurveda-metals,A-original,build_practice_charts2.py,1,30-complementary-medicine.md
R01-surgery-verdict,A-original,build_drugs_misc.py,1,38-surgery-perioperative.md
R02-anesthesia-types,A-original,build_drugs_misc.py,1,39-anesthesia-critical-care.md
R03-icu-support,A-original,build_drugs_misc.py,1,39-anesthesia-critical-care.md
R04-regen-ladder,A-original,build_drugs_misc.py,1,31-regenerative-frontier.md
R05-laundering-gap,A-original,build_drugs_misc.py,1,32-biohacking-fringe.md
R06-four-beat,A-original,build_drugs_misc.py,1,31-regenerative-frontier.md
R07-anecdote-engine,A-original,build_drugs_misc.py,1,32-biohacking-fringe.md
R08-placebo-bounded,A-original,build_drugs_misc.py,1,30-complementary-medicine.md
R09-sepsis-turnover,A-original,build_drugs_misc.py,1,39-anesthesia-critical-care.md
R10-sedation-continuum,A-original,build_drugs_misc.py,1,39-anesthesia-critical-care.md
Y01-calories-le,A-original,build_final3.py,1,45-sports-play.md
Y02-glp1-outcomes,A-original,build_final3.py,1,10-medical-pharmacology.md
Y03-mammography,A-original,build_final3.py,1,07-clinical-prevention.md
Y04-prenatal,A-original,build_final3.py,1,19-life-stages.md
Y05-hrv,A-original,build_final3.py,1,05-recovery-sleep-stress.md
Y06-adherence,A-original,build_final3.py,1,29-behavior-change.md
Y07-strength-ladders,A-original,build_final3.py,1,02-training.md
Y08-racquet-bundle,A-original,build_final3.py,1,45-sports-play.md
Y09-liver-flush,A-original,build_final3.py,1,36-fasting-cleanses-protocols.md
Y10-gh-owngoal,A-original,build_final3.py,1,32-biohacking-fringe.md
Y11-caffeine,A-original,build_final3.py,1,05-recovery-sleep-stress.md
Z01-sport-matcher,A-original,build_final2.py,1,45-sports-play.md
Z02-incidentaloma,A-original,build_final2.py,1,40-imaging-radiology.md
Z03-metabolizer-prodrug,A-original,build_final2.py,1,28-pharmacology-full.md
Z04-lab-pair,A-original,build_final2.py,1,13-endocrine-hormones.md
Z05-tissue-types,A-original,build_final2.py,1,18-genetics-anatomy.md
Z06-gland-map,A-original,build_final2.py,1,13-endocrine-hormones.md
Z07-homology,A-original,build_final2.py,1,42-reproductive-sexual-health.md
Z08-breathwork,A-original,build_final2.py,1,05-recovery-sleep-stress.md
Z09-vaccines-kids,A-original,build_final2.py,1,26-infectious-disease.md
Z10-imaging-flow,A-original,build_final2.py,1,40-imaging-radiology.md
Z11-pku,A-original,build_final2.py,1,43-developmental-congenital-pediatric.md
Z12-stemcell-flags,A-original,build_final2.py,1,31-regenerative-frontier.md
Z13-surgery-questions,A-original,build_final2.py,1,38-surgery-perioperative.md
atorvastatin-structure,A-original,build_structures.py,0,
atp-synthase-turbine,A-original,build_structures.py,1,01-foundations.md
complex-I-etc,A-original,build_structures.py,1,37-mitochondrial-health.md
complex-II-sdh,A-original,build_structures.py,1,37-mitochondrial-health.md
complex-III-bc1,A-original,build_structures.py,1,37-mitochondrial-health.md
complex-IV-cox,A-original,build_structures.py,1,37-mitochondrial-health.md
dna-double-helix,A-original,build_structures.py,1,01-foundations.md
empagliflozin-structure,A-original,build_structures.py,0,
hemoglobin,A-original,build_body_schematic.py,0,
igg-antibody,A-original,build_structures.py,0,
insulin,A-original,build_structures.py,0,
metformin-structure,A-original,build_structures.py,0,
na-k-atpase,A-original,build_structures.py,0,
rapamycin-structure,A-original,build_structures.py,0,
rosuvastatin-structure,A-original,build_structures.py,0,
semaglutide-schematic,A-original,build_structures.py,0,
RA01-neuron,B-borrowed,build_realmedia.py,1,14-nervous-system.md
RA02-synapse,B-borrowed,build_realmedia.py,1,14-nervous-system.md
RA03-mitochondrion,B-borrowed,build_realmedia.py,1,01-foundations.md
RA04-nephron,B-borrowed,build_realmedia.py,1,17-organ-systems-atlas.md
RA05-endocrine-glands,B-borrowed,build_realmedia.py,1,13-endocrine-hormones.md
RA06-action-potential,B-borrowed,build_realmedia.py,1,14-nervous-system.md
RA07-dna-replication,B-borrowed,build_realmedia.py,1,01-foundations.md
RA08-telomere,B-borrowed,build_realmedia.py,1,16-telomeres-cellular-aging.md
RA09-brain-lobes,B-borrowed,build_realmedia.py,1,08-brain-cognitive.md
RA10-atherosclerosis,B-borrowed,build_realmedia.py,1,22-disease-cardiometabolic-renal.md
RA14-heart,B-borrowed,build_realmedia.py,1,22-disease-cardiometabolic-renal.md
RA15-the-cell,B-borrowed,build_realmedia.py,1,01-foundations.md
RA11-tissue-epithelial,C-real-data,build_realmedia.py,1,18-genetics-anatomy.md
