slug,final_class,provenance_class,content_type,is_real_data_image,house_style,quality,legibility,prominence,priority,generator,chapter,issues
B07-ivf-by-age,A-original,A-original,data_chart,False,True,4,5,1,1,build_body_charts.py,42-reproductive-sexual-health.md,none
B10-common-rare-variants,A-original,A-original,data_chart,False,True,4,4,1,1,build_body_charts.py,18-genetics-anatomy.md,None
D05-amr-burden,A-original,A-original,data_chart,False,True,4,5,1,1,build_disease_charts.py,26-infectious-disease.md,none
D10-smoking-cessation,A-original,A-original,data_chart,False,True,4,4,1,1,build_disease_charts.py,35-addiction-substance-use.md,Green/brown color scheme low contrast; axis label could be larger
D13-finger,A-original,A-original,data_chart,False,True,4,5,1,1,build_disease_charts.py,08-brain-cognitive.md,none
D14-lecanemab,A-original,A-original,data_chart,False,True,4,5,1,1,build_disease_charts.py,08-brain-cognitive.md,none
D15-ms-dmt,A-original,A-original,data_chart,False,True,4,4,1,1,build_disease_charts2.py,24-disease-neuro-rheum.md,None
D18-antipsychotics,A-original,A-original,data_chart,False,True,4,4,1,1,build_disease_charts2.py,20-mental-health-psychiatry.md,Minor: arrowhead annotation could be larger/clearer
D19-anorexia-smr,A-original,A-original,data_chart,False,True,4,5,1,1,build_disease_charts2.py,20-mental-health-psychiatry.md,none
D20-mdma-ptsd,A-original,A-original,data_chart,False,True,4,5,1,1,build_disease_charts2.py,20-mental-health-psychiatry.md,none
D25-achieve-hearing,A-original,A-original,data_chart,False,True,4,5,1,1,build_disease_charts2.py,08-brain-cognitive.md,none
D26-shingles-dementia,A-original,A-original,data_chart,False,True,4,5,1,1,build_disease_charts2.py,08-brain-cognitive.md,none
G01-polarized,A-original,A-original,data_chart,False,True,4,5,1,1,build_final_charts.py,02-training.md,none
G04-statin-prevention,A-original,A-original,data_chart,False,True,4,5,1,1,build_final_charts.py,10-medical-pharmacology.md,none
G08-healthspan-gap,A-original,A-original,data_chart,False,True,4,5,1,1,build_final_charts.py,19-life-stages.md,none
L04-vital-nulls,A-original,A-original,data_chart,False,True,4,4,1,1,build_life_charts.py,03-nutrition-supplements.md,Dashed reference line at 1.0 could be more prominent; minor crowding in legend
L05-protein-age,A-original,A-original,data_chart,False,True,4,5,1,1,build_life_charts.py,03-nutrition-supplements.md,none
L07-psychosocial,A-original,A-original,data_chart,False,True,4,5,1,1,build_life_charts.py,05-recovery-sleep-stress.md,none
L16-us-vs-peers,A-original,A-original,data_chart,False,True,4,4,1,1,build_life_charts.py,33-public-health-systems.md,none
L17-epi-transition,A-original,A-original,data_chart,False,True,4,4,1,1,build_life_charts.py,33-public-health-systems.md,Theoretical model status not emphasized in title
M01-push-up,A-original,A-original,anatomical_illustration,False,True,4,5,1,1,build_movements.py,02-training.md,none
M04-glute-bridge,A-original,A-original,schematic_diagram,False,True,4,4,1,1,build_movements.py,02-training.md,Dotted motion arc line could be crisper
M15-hip-flexor-stretch,A-original,A-original,anatomical_illustration,False,True,4,5,1,1,build_movements3.py,02-training.md,none
M21-single-leg-rdl,A-original,A-original,anatomical_illustration,False,True,4,5,1,1,build_movements4.py,02-training.md,none
M28-bulgarian-split-squat,A-original,A-original,anatomical_illustration,False,True,4,5,1,1,build_movements6.py,02-training.md,none
M31-hollow-hold,A-original,A-original,schematic_diagram,False,True,4,5,1,1,build_movements6.py,02-training.md,none
M33-cable-row,A-original,A-original,schematic_diagram,False,True,4,5,1,1,build_movements6.py,02-training.md,none
P08-amd-antivegf,A-original,A-original,data_chart,False,True,4,4,1,1,build_practice_charts.py,27-derm-dental-ent-eye.md,None
P13-ct-burden,A-original,A-original,data_chart,False,True,4,4,1,1,build_practice_charts.py,40-imaging-radiology.md,None
Q01-aspree,A-original,A-original,data_chart,False,True,4,5,1,1,build_practice_charts2.py,10-medical-pharmacology.md,none
Q06-gene-prices,A-original,A-original,data_chart,False,True,4,5,1,1,build_practice_charts2.py,31-regenerative-frontier.md,none
Q07-prp,A-original,A-original,data_chart,False,True,4,5,1,1,build_practice_charts2.py,31-regenerative-frontier.md,none
Q08-alt-conventional,A-original,A-original,data_chart,False,True,4,5,1,1,build_practice_charts2.py,30-complementary-medicine.md,none
Q09-acupuncture,A-original,A-original,data_chart,False,True,4,5,1,1,build_practice_charts2.py,30-complementary-medicine.md,none
Q10-ayurveda-metals,A-original,A-original,data_chart,False,True,4,4,1,1,build_practice_charts2.py,30-complementary-medicine.md,None
Y05-hrv,A-original,A-original,reference_card_or_table,False,True,4,4,1,1,build_final3.py,05-recovery-sleep-stress.md,Minor: line chart lacks numeric scale/axis labels on y-axis
complex-III-bc1,A-original,A-original,molecular_structure,False,True,4,4,1,1,build_structures.py,37-mitochondrial-health.md,Small text on Q-cycle core and Rieske Fe-S labels; minor crowding of annotations
complex-IV-cox,A-original,A-original,molecular_structure,False,True,4,4,1,1,build_structures.py,37-mitochondrial-health.md,None
igg-antibody,A-original,A-original,molecular_structure,False,True,4,4,0,1,build_structures.py,,Minor label crowding on antigen-binding arm; otherwise clean
semaglutide-schematic,A-original,A-original,molecular_structure,False,True,4,4,0,1,build_structures.py,,Annotation boxes crowd lower left; amino acid abbreviations very small
02-copenhagen-sports,A-original,A-original,data_chart,False,True,5,5,1,0,build_charts.py,45-sports-play.md,none
03-vo2max-mortality,A-original,A-original,data_chart,False,True,5,5,1,0,build_charts.py,02-training.md,none
04-energy-stack,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_schematics.py,01-foundations.md,none
05-nutrient-switchboard,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_schematics.py,01-foundations.md,none
07-calibration-spectrum,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_figures.py,46-practitioner-claims-vs-evidence.md,none
08-what-to-track,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_figures.py,WHAT-TO-TRACK-SYNTHESIS.md,none
09-lancet14-dementia,A-original,A-original,data_chart,False,True,5,5,1,0,build_charts.py,08-brain-cognitive.md,none
10-hallmarks-cancer,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_schematics.py,25-oncology.md,none
101-central-dogma,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave8.py,01-foundations.md,none
102-cholesterol-particles,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave8.py,22-disease-cardiometabolic-renal.md,none
103-the-cell,A-original,A-original,anatomical_illustration,False,True,5,5,1,0,build_wave8.py,01-foundations.md,none
104-longevity-pipeline,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave8.py,31-regenerative-frontier.md,none
105-red-flags,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave8.py,34-emergency-acute.md,none
11-cpr-card,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_cards.py,34-emergency-acute.md,none
12-befast-card,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_cards.py,34-emergency-acute.md,none
13-anaphylaxis-card,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_cards.py,34-emergency-acute.md,none
14-bayes-ppv,A-original,A-original,data_chart,False,True,5,5,1,0,build_cards.py,41-pathology-lab-medicine.md,none
15-fasting-timeline,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_figures.py,36-fasting-cleanses-protocols.md,none
16-mitochondria-section,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_schematics.py,37-mitochondrial-health.md,none
17-organ-systems-map,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_schematics.py,18-genetics-anatomy.md,none
18-mechanism-convergence,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_cards.py,12-mechanism-bridge.md,none
19-emergency-wallet,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_cards.py,34-emergency-acute.md,none
20-strength-jcurve,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave2.py,02-training.md,none
21-steps-plateau,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave2.py,02-training.md,none
22-sleep-ushape,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave2.py,05-recovery-sleep-stress.md,none
23-sauna-mortality,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave2.py,05-recovery-sleep-stress.md,none
27-lifespan-ledger,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave2.py,33-public-health-systems.md,none
28-supplement-matrix,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave2.py,03-nutrition-supplements.md,none
29-modality-matrix,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave2.py,44-exercise-modalities.md,none
30-hallmarks-aging,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave2.py,01-foundations.md,none
31-four-horsemen,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave2.py,07-clinical-prevention.md,none
32-apob-cumulative,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave3.py,22-disease-cardiometabolic-renal.md,none
33-protein-dose,A-original,A-original,data_chart,False,True,5,4,1,0,build_wave3.py,03-nutrition-supplements.md,none
34-resting-hr,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave3.py,WHAT-TO-TRACK-SYNTHESIS.md,none
37-biohacking-matrix,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave3.py,32-biohacking-fringe.md,none
38-cam-matrix,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave3.py,30-complementary-medicine.md,none
39-evidence-ladder,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave3.py,00-atlas.md,none
40-weekly-program,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave3.py,02-training.md,none
41-atherosclerosis-cascade,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave3.py,22-disease-cardiometabolic-renal.md,none
42-metabolic-syndrome,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave3.py,22-disease-cardiometabolic-renal.md,none
43-grip-mortality,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave4.py,02-training.md,none
44-sleep-hypnogram,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave4.py,05-recovery-sleep-stress.md,none
45-cortisol-rhythm,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave4.py,13-endocrine-hormones.md,none
46-action-potential,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave4.py,14-nervous-system.md,none
48-hrt-timing,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave4.py,42-reproductive-sexual-health.md,none
49-imaging-matrix,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave4.py,40-imaging-radiology.md,none
50-ckd-heatmap,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave4.py,22-disease-cardiometabolic-renal.md,none
51-pain-biopsychosocial,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave4.py,21-pain-injury-rehab.md,none
52-innate-adaptive,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave4.py,15-immune-system.md,none
53-cancer-screening,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave4.py,07-clinical-prevention.md,none
54-gut-brain-axis,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave4.py,14-nervous-system.md,none
55-omega3-index,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave5.py,03-nutrition-supplements.md,none
56-visceral-fat,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave5.py,22-disease-cardiometabolic-renal.md,none
57-mediterranean,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave5.py,03-nutrition-supplements.md,none
59-metabolic-flexibility,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave5.py,22-disease-cardiometabolic-renal.md,none
60-four-capacities,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave5.py,02-training.md,none
61-endocrine-axes,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave5.py,13-endocrine-hormones.md,none
62-longevity-plate,A-original,A-original,reference_card_or_table,False,True,5,4,1,0,build_wave5.py,03-nutrition-supplements.md,none
63-sleep-hygiene,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave5.py,05-recovery-sleep-stress.md,none
64-geroprotector-matrix,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave5.py,10-medical-pharmacology.md,none
65-hpa-axis,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave5.py,13-endocrine-hormones.md,none
66-synapse,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave5.py,14-nervous-system.md,none
67-bp-sprint,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave6.py,07-clinical-prevention.md,none
68-hba1c-risk,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave6.py,22-disease-cardiometabolic-renal.md,none
70-cac-risk,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave6.py,07-clinical-prevention.md,none
72-bone-tscore,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave6.py,11-body-systems.md,none
74-screening-by-age,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave6.py,07-clinical-prevention.md,none
75-blood-panel,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave6.py,41-pathology-lab-medicine.md,none
76-cancer-treatment,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave6.py,25-oncology.md,none
77-vaccine-schedule,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave6.py,26-infectious-disease.md,none
78-insulin-resistance,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave6.py,22-disease-cardiometabolic-renal.md,none
79-inflammation-paths,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave6.py,15-immune-system.md,none
80-prevention-by-decade,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave6.py,07-clinical-prevention.md,none
81-lifespan-over-time,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave7.py,33-public-health-systems.md,none
84-cancer-incidence,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave7.py,25-oncology.md,none
85-calerie,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave7.py,36-fasting-cleanses-protocols.md,none
86-vo2max-age,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave7.py,19-life-stages.md,none
87-hormesis-curve,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave7.py,01-foundations.md,none
88-dementia-checklist,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave7.py,08-brain-cognitive.md,none
89-fasting-protocols,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave7.py,36-fasting-cleanses-protocols.md,none
90-recovery-toolkit,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave7.py,05-recovery-sleep-stress.md,none
91-minimal-equipment,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave7.py,02-training.md,none
92-autonomic-ns,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_wave7.py,14-nervous-system.md,none
93-fight-or-flight,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_wave7.py,14-nervous-system.md,none
94-menopause-timeline,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave7.py,42-reproductive-sexual-health.md,none
95-social-connection,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave8.py,05-recovery-sleep-stress.md,none
96-smoking-quit,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave8.py,09-exposures-environment.md,none
98-epigenetic-clock,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave8.py,18-genetics-anatomy.md,none
99-sarcopenia,A-original,A-original,data_chart,False,True,5,5,1,0,build_wave8.py,19-life-stages.md,none
A01-neuron,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_anat.py,14-nervous-system.md,none
A03-end-replication,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_anat.py,16-telomeres-cellular-aging.md,none
A04-telomere-cap,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_anat.py,16-telomeres-cellular-aging.md,none
A05-cns-pns,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_anat.py,14-nervous-system.md,none
A06-nociception,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_anat.py,21-pain-injury-rehab.md,none
A08-osteosarcopenia,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_anat.py,11-body-systems.md,none
A09-hpg,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_anat.py,13-endocrine-hormones.md,none
A10-ed-cardiac,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_anat.py,42-reproductive-sexual-health.md,none
A11-senescence-triggers,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_anat.py,16-telomeres-cellular-aging.md,none
A12-telomere-clock,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_anat.py,16-telomeres-cellular-aging.md,none
B01-hormone-age,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,13-endocrine-hormones.md,none
B02-igf1-u-curve,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,13-endocrine-hormones.md,none
B03-apoe-gene-dose,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,18-genetics-anatomy.md,none
B04-fev1-fletcher-peto,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,17-organ-systems-atlas.md,none
B05-egfr-decline,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,17-organ-systems-atlas.md,none
B06-ovarian-reserve,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,42-reproductive-sexual-health.md,none
B08-contraception,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,42-reproductive-sexual-health.md,none
B09-menstrual-cycle,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,42-reproductive-sexual-health.md,none
B11-bone-load,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,11-body-systems.md,none
B12-hip-fracture-mortality,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,11-body-systems.md,none
B13-noise-dose,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,11-body-systems.md,none
B14-fiber-mortality,A-original,A-original,data_chart,False,True,5,5,1,0,build_body_charts.py,03-nutrition-supplements.md,none
BS1-levels-of-organization,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_schematic.py,18-genetics-anatomy.md,none
BS2-vo2max-oxygen-chain,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_schematic.py,18-genetics-anatomy.md,none
BS3-food-to-atp-chain,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_schematic.py,18-genetics-anatomy.md,none
BS4-endocrine-axis,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_schematic.py,13-endocrine-hormones.md,none
BS5-inflammation-acute-chronic,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_schematic.py,15-immune-system.md,none
BS6-masld-progression,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_schematic.py,23-disease-respiratory-gi.md,none
BS7-iron-two-sided,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_schematic.py,17-organ-systems-atlas.md,none
BS8-inflammaging-hub,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_body_schematic.py,15-immune-system.md,none
BX1-actionable-variants,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_matrix.py,18-genetics-anatomy.md,none
BX2-neurotransmitters,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_matrix.py,14-nervous-system.md,none
BX3-immune-ladder,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_matrix.py,15-immune-system.md,none
BX4-telomere-grading,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_matrix.py,16-telomeres-cellular-aging.md,none
BX5-skincare-hierarchy,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_matrix.py,11-body-systems.md,none
BX6-sti-matrix,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_matrix.py,42-reproductive-sexual-health.md,none
BX7-gynecologic,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_matrix.py,42-reproductive-sexual-health.md,none
BX8-innate-components,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_body_matrix.py,15-immune-system.md,none
D01-direct-remission,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,22-disease-cardiometabolic-renal.md,none
D02-hf-four-pillars,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,22-disease-cardiometabolic-renal.md,none
D03-cancer-survival,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,25-oncology.md,none
D04-stroke-nnt,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,24-disease-neuro-rheum.md,none
D06-herd-immunity,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,26-infectious-disease.md,none
D07-antidepressant-severity,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,20-mental-health-psychiatry.md,none
D08-moud-mortality,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,35-addiction-substance-use.md,none
D09-addictiveness-lethality,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,35-addiction-substance-use.md,none
D11-bp-lifestyle,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,07-clinical-prevention.md,none
D12-hepc-cure,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts.py,23-disease-respiratory-gi.md,none
D16-migraine-cgrp,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts2.py,24-disease-neuro-rheum.md,none
D17-neuropathy-nnt,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts2.py,24-disease-neuro-rheum.md,none
D21-lithium-suicide,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts2.py,20-mental-health-psychiatry.md,none
D22-brca-risk,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts2.py,25-oncology.md,none
D23-oncogene-frequency,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts2.py,25-oncology.md,none
D24-checkmate-melanoma,A-original,A-original,data_chart,False,True,5,5,1,0,build_disease_charts2.py,25-oncology.md,none
DS1-t2d-ladder,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_schematic.py,22-disease-cardiometabolic-renal.md,none
DS10-parkinsons-prodrome,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_schematic.py,24-disease-neuro-rheum.md,none
DS11-vaccine-timeline,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_schematic.py,26-infectious-disease.md,none
DS12-one-machine,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_disease_schematic.py,22-disease-cardiometabolic-renal.md,none
DS2-hf-ef-spectrum,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_schematic.py,22-disease-cardiometabolic-renal.md,none
DS3-crc-sequence,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_disease_schematic.py,25-oncology.md,none
DS4-gout,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_disease_schematic.py,24-disease-neuro-rheum.md,none
DS5-ra-target,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_disease_schematic.py,24-disease-neuro-rheum.md,none
DS6-low-fodmap,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_schematic.py,23-disease-respiratory-gi.md,none
DS7-asthma,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_disease_schematic.py,23-disease-respiratory-gi.md,none
DS8-osa,A-original,A-original,schematic_diagram,False,True,5,5,1,0,build_disease_schematic.py,23-disease-respiratory-gi.md,none
DS9-stroke-windows,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_schematic.py,24-disease-neuro-rheum.md,none
DX1-psychiatric,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_matrix.py,20-mental-health-psychiatry.md,none
DX2-mat-moud,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_matrix.py,35-addiction-substance-use.md,none
DX3-pathogen-classes,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_matrix.py,26-infectious-disease.md,none
DX4-cancer-screening,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_matrix.py,07-clinical-prevention.md,none
DX5-chronic-viral,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_disease_matrix.py,26-infectious-disease.md,none
E1-choking,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_emergency.py,34-emergency-acute.md,none
E2-stop-the-bleed,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_emergency.py,34-emergency-acute.md,none
E3-naloxone,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_emergency.py,34-emergency-acute.md,none
E4-sepsis,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_emergency.py,34-emergency-acute.md,none
E5-burns,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_emergency.py,34-emergency-acute.md,none
E6-seizure,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_emergency.py,34-emergency-acute.md,none
E7-heat-stroke,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_emergency.py,34-emergency-acute.md,none
F01-week-calendar,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_final_svg.py,02-training.md,none
F02-rpe-rir,A-original,A-original,reference_card_or_table,False,True,5,5,1,0,build_final_svg.py,02-training.md,none
